band,depth_m,depth_range
1,0.001,0.001< d <=0.05
2,0.05,0.05< d <=0.1
3,0.1,0.1< d <=0.15
4,0.15,0.15< d <=0.2
5,0.2,0.2< d <=0.25
6,0.25,0.25< d <=0.3
7,0.3,0.3< d <=0.35
8,0.35,0.35< d <=0.4
9,0.4,0.4< d <=0.45
10,0.45,0.45< d <=0.5
11,0.5,0.5< d <=0.55
12,0.55,0.55< d <=0.6
13,0.6,0.6< d <=0.65
14,0.65,0.65< d <=0.7
15,0.7,0.7< d <=0.75
16,0.75,0.75< d <=0.8
17,0.8,0.8< d <=0.85
18,0.85,0.85< d <=0.9
19,0.9,0.9< d <=0.95
20,0.95,0.95< d <=1
21,1,1< d <=1.05
22,1.05,1.05< d <=1.1
23,1.1,1.1< d <=1.15
24,1.15,1.15< d <=1.2
25,1.2,1.2< d <=1.25
26,1.25,1.25< d <=1.3
27,1.3,1.3< d <=1.35
28,1.35,1.35< d <=1.4
29,1.4,1.4< d <=1.45
30,1.45,1.45< d <=1.5
31,1.5,1.5< d <=1.55
32,1.55,1.55< d <=1.6
33,1.6,1.6< d <=1.65
34,1.65,1.65< d <=1.7
35,1.7,1.7< d <=1.75
36,1.75,1.75< d <=1.8
37,1.8,1.8< d <=1.85
38,1.85,1.85< d <=1.9
39,1.9,1.9< d <=1.95
40,1.95,1.95< d <=2
41,2,2< d <=2.05
42,2.05,2.05< d <=2.1
43,2.1,2.1< d <=2.15
44,2.15,2.15< d <=2.2
45,2.2,2.2< d <=2.25
46,2.25,2.25< d <=2.3
47,2.3,2.3< d <=2.35
48,2.35,2.35< d <=2.4
49,2.4,2.4< d <=2.45
50,2.45,2.45< d <=2.5
51,2.5,2.5< d <=2.55
52,2.55,2.55< d <=2.6
53,2.6,2.6< d <=2.65
54,2.65,2.65< d <=2.7
55,2.7,2.7< d <=2.75
56,2.75,2.75< d <=2.8
57,2.8,2.8< d <=2.85
58,2.85,2.85< d <=2.9
59,2.9,2.9< d <=2.95
60,2.95,2.95< d <=3
61,3,3< d <=3.05
62,3.05,3.05< d <=3.1
63,3.1,3.1< d <=3.15
64,3.15,3.15< d <=3.2
65,3.2,3.2< d <=3.25
66,3.25,3.25< d <=3.3
67,3.3,3.3< d <=3.35
68,3.35,3.35< d <=3.4
69,3.4,3.4< d <=3.45
70,3.45,3.45< d <=3.5
71,3.5,3.5< d <=3.55
72,3.55,3.55< d <=3.6
73,3.6,3.6< d <=3.65
74,3.65,3.65< d <=3.7
75,3.7,3.7< d <=3.75
76,3.75,3.75< d <=3.8
77,3.8,3.8< d <=3.85
78,3.85,3.85< d <=3.9
79,3.9,3.9< d <=3.95
80,3.95,3.95< d <=4
81,4,4< d <=4.05
82,4.05,4.05< d <=4.1
83,4.1,4.1< d <=4.15
84,4.15,4.15< d <=4.2
85,4.2,4.2< d <=4.25
86,4.25,4.25< d <=4.3
87,4.3,4.3< d <=4.35
88,4.35,4.35< d <=4.4
89,4.4,4.4< d <=4.45
90,4.45,4.45< d <=4.5
91,4.5,4.5< d <=4.55
92,4.55,4.55< d <=4.6
93,4.6,4.6< d <=4.65
94,4.65,4.65< d <=4.7
95,4.7,4.7< d <=4.75
96,4.75,4.75< d <=4.8
97,4.8,4.8< d <=4.85
98,4.85,4.85< d <=4.9
99,4.9,4.9< d <=4.95
100,4.95,4.95< d <=5
101,5,5< d <=5.1
102,5.1,5.1< d <=5.2
103,5.2,5.2< d <=5.3
104,5.3,5.3< d <=5.4
105,5.4,5.4< d <=5.5
106,5.5,5.5< d <=5.6
107,5.6,5.6< d <=5.7
108,5.7,5.7< d <=5.8
109,5.8,5.8< d <=5.9
110,5.9,5.9< d <=6
111,6,6< d <=6.1
112,6.1,6.1< d <=6.2
113,6.2,6.2< d <=6.3
114,6.3,6.3< d <=6.4
115,6.4,6.4< d <=6.5
116,6.5,6.5< d <=6.6
117,6.6,6.6< d <=6.7
118,6.7,6.7< d <=6.8
119,6.8,6.8< d <=6.9
120,6.9,6.9< d <=7
121,7,7< d <=7.1
122,7.1,7.1< d <=7.2
123,7.2,7.2< d <=7.3
124,7.3,7.3< d <=7.4
125,7.4,7.4< d <=7.5
126,7.5,7.5< d <=7.6
127,7.6,7.6< d <=7.7
128,7.7,7.7< d <=7.8
129,7.8,7.8< d <=7.9
130,7.9,7.9< d <=8
131,8,8< d <=8.1
132,8.1,8.1< d <=8.2
133,8.2,8.2< d <=8.3
