geogname1,sidx,return_period,loss
Autonome d' Abidjan,Sample1,2,3.162
Autonome d' Abidjan,Sample1,5,154.938019
Autonome d' Abidjan,Sample1,10,17799.775391
Autonome d' Abidjan,Sample1,15,63774.277344
Autonome d' Abidjan,Sample1,20,78196.445312
Autonome d' Abidjan,Sample1,50,104960.796875
Autonome d' Abidjan,Sample1,75,116603.242188
Autonome d' Abidjan,Sample1,100,129854.921875
Autonome d' Abidjan,Sample1,200,157511.84375
Autonome d' Abidjan,Sample1,250,174124.921875
Autonome d' Abidjan,Sample1,500,212511.5625
Autonome d' Abidjan,Sample1,750,286900.25
Autonome d' Abidjan,Sample1,1000,375510.5
Autonome de Yamoussoukro,Sample1,2,0.0
Autonome de Yamoussoukro,Sample1,5,369.953888
Autonome de Yamoussoukro,Sample1,10,1448.195801
Autonome de Yamoussoukro,Sample1,15,1825.526367
Autonome de Yamoussoukro,Sample1,20,2218.606934
Autonome de Yamoussoukro,Sample1,50,3583.106934
Autonome de Yamoussoukro,Sample1,75,4007.224121
Autonome de Yamoussoukro,Sample1,100,4272.240234
Autonome de Yamoussoukro,Sample1,200,5392.580078
Autonome de Yamoussoukro,Sample1,250,5954.800293
Autonome de Yamoussoukro,Sample1,500,8468.040039
Autonome de Yamoussoukro,Sample1,750,10191.612305
Autonome de Yamoussoukro,Sample1,1000,10855.720703
Bas-Sassandra,Sample1,2,180.234009
Bas-Sassandra,Sample1,5,7927.893555
Bas-Sassandra,Sample1,10,38502.574219
Bas-Sassandra,Sample1,15,127443.960938
Bas-Sassandra,Sample1,20,134787.765625
Bas-Sassandra,Sample1,50,151483.375
Bas-Sassandra,Sample1,75,161497.6875
Bas-Sassandra,Sample1,100,171377.46875
Bas-Sassandra,Sample1,200,248416.515625
Bas-Sassandra,Sample1,250,266597.96875
Bas-Sassandra,Sample1,500,277047.125
Bas-Sassandra,Sample1,750,287789.15625
Bas-Sassandra,Sample1,1000,293544.84375
Comoé,Sample1,2,28.458
Comoé,Sample1,5,3609.824951
Comoé,Sample1,10,31731.759766
Comoé,Sample1,15,47309.707031
Comoé,Sample1,20,57315.023438
Comoé,Sample1,50,75122.78125
Comoé,Sample1,75,83364.789062
Comoé,Sample1,100,89128.046875
Comoé,Sample1,200,99082.398438
Comoé,Sample1,250,103292.734375
Comoé,Sample1,500,124109.421875
Comoé,Sample1,750,126668.0
Comoé,Sample1,1000,134789.3125
Denguélé,Sample1,2,0.0
Denguélé,Sample1,5,360.467957
Denguélé,Sample1,10,1129.825439
Denguélé,Sample1,15,1583.417114
Denguélé,Sample1,20,2779.400635
Denguélé,Sample1,50,3892.427246
Denguélé,Sample1,75,4117.971191
Denguélé,Sample1,100,4322.460449
Denguélé,Sample1,200,4856.840332
Denguélé,Sample1,250,5062.371582
Denguélé,Sample1,500,8539.603516
Denguélé,Sample1,750,9118.174805
Denguélé,Sample1,1000,9845.517578
Gôh-Djiboua,Sample1,2,0.0
Gôh-Djiboua,Sample1,5,724.655579
Gôh-Djiboua,Sample1,10,2886.907227
Gôh-Djiboua,Sample1,15,5648.978516
Gôh-Djiboua,Sample1,20,9196.186523
Gôh-Djiboua,Sample1,50,15764.496094
Gôh-Djiboua,Sample1,75,18151.025391
Gôh-Djiboua,Sample1,100,20058.576172
Gôh-Djiboua,Sample1,200,24710.759766
Gôh-Djiboua,Sample1,250,26352.791016
Gôh-Djiboua,Sample1,500,34235.03125
Gôh-Djiboua,Sample1,750,37749.449219
Gôh-Djiboua,Sample1,1000,39808.382812
Lacs,Sample1,2,471.138
Lacs,Sample1,5,3718.51123
Lacs,Sample1,10,16834.523438
Lacs,Sample1,15,20468.753906
Lacs,Sample1,20,22418.689453
Lacs,Sample1,50,27060.519531
Lacs,Sample1,75,28332.662109
Lacs,Sample1,100,29191.753906
Lacs,Sample1,200,31395.609375
Lacs,Sample1,250,31863.644531
Lacs,Sample1,500,34696.707031
Lacs,Sample1,750,37371.191406
Lacs,Sample1,1000,38664.816406
Lagunes,Sample1,2,47.429996
Lagunes,Sample1,5,11562.269531
Lagunes,Sample1,10,26319.376953
Lagunes,Sample1,15,54094.898438
Lagunes,Sample1,20,57158.898438
Lagunes,Sample1,50,77621.289062
Lagunes,Sample1,75,91834.390625
Lagunes,Sample1,100,96233.507812
Lagunes,Sample1,200,102619.4375
Lagunes,Sample1,250,105418.765625
Lagunes,Sample1,500,112295.65625
Lagunes,Sample1,750,115758.851562
Lagunes,Sample1,1000,117790.375
Montagnes,Sample1,2,309.876007
Montagnes,Sample1,5,3550.935791
Montagnes,Sample1,10,23297.705078
Montagnes,Sample1,15,35943.765625
Montagnes,Sample1,20,47581.136719
Montagnes,Sample1,50,71022.453125
Montagnes,Sample1,75,77523.914062
Montagnes,Sample1,100,83829.328125
Montagnes,Sample1,200,93218.46875
Montagnes,Sample1,250,96836.804688
Montagnes,Sample1,500,106926.875
Montagnes,Sample1,750,115760.125
