geogname1,type,loss,standard_deviation,exposure_value
Denguélé,1_analytic_mean,67.967884,208.340254,4336.427734
Comoé,1_analytic_mean,5641.850858,14421.123045,97985.523438
Savanes,1_analytic_mean,811.451985,2369.867746,29720.328125
Vallée du Bandama,1_analytic_mean,630.811321,1320.502268,11241.186523
Woroba,1_analytic_mean,448.453425,1094.557069,9669.512695
Zanzan,1_analytic_mean,923.327298,2357.196911,18674.529297
Montagnes,1_analytic_mean,3357.526518,9352.65894,80120.34375
Sassandra-Marahoué,1_analytic_mean,2408.76209,7038.003081,57437.996094
Lacs,1_analytic_mean,2223.706614,4697.609628,26089.435547
Bas-Sassandra,1_analytic_mean,13196.411956,37536.48001,186987.40625
Autonome de Yamoussoukro,1_analytic_mean,218.521649,595.032192,5785.23584
Gôh-Djiboua,1_analytic_mean,589.583394,1774.201669,25597.136719
Lagunes,1_analytic_mean,7014.794969,16458.892417,71609.382812
Autonome d' Abidjan,1_analytic_mean,4952.756089,17425.76302,194759.65625
Denguélé,2_sample_mean,67.967884,208.340254,4336.427734
Comoé,2_sample_mean,5641.850858,14421.123045,97985.523438
Savanes,2_sample_mean,811.451985,2369.867746,29720.328125
Vallée du Bandama,2_sample_mean,630.811321,1320.502268,11241.186523
Woroba,2_sample_mean,448.453425,1094.557069,9669.512695
Zanzan,2_sample_mean,923.327298,2357.196911,18674.529297
Montagnes,2_sample_mean,3357.526518,9352.65894,80120.34375
Sassandra-Marahoué,2_sample_mean,2408.76209,7038.003081,57437.996094
Lacs,2_sample_mean,2223.706614,4697.609628,26089.435547
Bas-Sassandra,2_sample_mean,13196.411956,37536.48001,186987.40625
Autonome de Yamoussoukro,2_sample_mean,218.521649,595.032192,5785.23584
Gôh-Djiboua,2_sample_mean,589.583394,1774.201669,25597.136719
Lagunes,2_sample_mean,7014.794969,16458.892417,71609.382812
Autonome d' Abidjan,2_sample_mean,4952.756089,17425.76302,194759.65625
