countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
CI,1_analytic_mean,26125,1,1979,1,1,1227847.75,0,5535000.5
CI,1_analytic_mean,26135,1,1979,1,1,133762.59,0,922500.38
CI,1_analytic_mean,26136,1,1979,1,1,148330672,0,245243488
CI,1_analytic_mean,26148,1,1979,1,1,627300.25,0,3075000.5
CI,1_analytic_mean,26162,1,1979,1,1,16605.01,0,153750.09
CI,1_analytic_mean,26165,1,1979,1,1,168817.59,0,1076250.38
CI,1_analytic_mean,26172,1,1979,1,1,442887584,0,1112856576
CI,1_analytic_mean,26178,1,1979,1,1,49815.03,0,461250.34
CI,1_analytic_mean,26268,2,1980,1,1,186345.09,0,1230000.38
CI,1_analytic_mean,26269,2,1980,1,1,219555.09,0,1537500.38
CI,1_analytic_mean,26282,2,1980,1,1,206025.08,0,1230000.38
CI,1_analytic_mean,26306,2,1980,1,1,666967.75,0,2921250.5
CI,1_analytic_mean,26314,2,1980,1,1,16605.01,0,153750.09
CI,1_analytic_mean,26334,2,1980,1,1,3439080.5,0,9993751
CI,1_analytic_mean,26345,2,1980,1,1,67342.54,0,461250.34
CI,1_analytic_mean,26365,2,1980,1,1,6580193,0,13683751
CI,1_analytic_mean,26372,2,1980,1,1,7330303,0,25368862
CI,1_analytic_mean,26469,3,1981,1,1,1778888,0,6457500.5
CI,1_analytic_mean,26532,4,1982,1,1,99630.07,0,922500.38
CI,1_analytic_mean,26544,4,1982,1,1,134685.08,0,922500.38
CI,1_analytic_mean,26556,4,1982,1,1,6701040.5,0,25061358
CI,1_analytic_mean,26567,4,1982,1,1,182655.09,0,1691250.38
CI,1_analytic_mean,26621,4,1982,1,1,33210.02,0,307500.22
CI,1_analytic_mean,26789,6,1984,1,1,119925.08,0,615000.38
CI,1_analytic_mean,26798,6,1984,1,1,16605.01,0,153750.09
CI,1_analytic_mean,26819,6,1984,1,1,52097888,0,151296128
CI,1_analytic_mean,26824,6,1984,1,1,1937557.75,0,6918750.5
CI,1_analytic_mean,26830,6,1984,1,1,149445.09,0,1383750.38
CI,1_analytic_mean,26836,6,1984,1,1,1375755.25,0,7072500.5
CI,1_analytic_mean,26837,6,1984,1,1,116235.09,0,1076250.38
CI,1_analytic_mean,26853,6,1984,1,1,33210.02,0,307500.22
CI,1_analytic_mean,26854,6,1984,1,1,442185.19,0,2460000.5
CI,1_analytic_mean,26858,6,1984,1,1,6897533.5,0,13222501
CI,1_analytic_mean,26861,6,1984,1,1,50357088,0,126387008
CI,1_analytic_mean,26875,6,1984,1,1,2512275.25,0,13222501
CI,1_analytic_mean,26888,7,1985,1,1,32028712,0,70879648
CI,1_analytic_mean,26892,7,1985,1,1,16605.01,0,153750.09
CI,1_analytic_mean,26920,7,1985,1,1,9292653,0,23677590
CI,1_analytic_mean,26921,7,1985,1,1,182655.09,0,1691250.38
CI,1_analytic_mean,26926,7,1985,1,1,555345.19,0,4151250.5
CI,1_analytic_mean,26930,7,1985,1,1,351165.22,0,1076250.38
CI,1_analytic_mean,26942,7,1985,1,1,444719712,0,1046939840
CI,1_analytic_mean,26958,7,1985,1,1,265680.09,0,2460000.5
CI,1_analytic_mean,27004,8,1986,1,1,516907.78,0,2460000.5
CI,1_analytic_mean,27005,8,1986,1,1,137452.58,0,615000.38
CI,1_analytic_mean,27014,8,1986,1,1,139605.08,0,615000.38
CI,1_analytic_mean,27024,8,1986,1,1,4485245,0,19680038
CI,1_analytic_mean,27026,8,1986,1,1,22179342,0,82411648
CI,1_analytic_mean,27031,8,1986,1,1,16605.01,0,153750.09
CI,1_analytic_mean,27058,8,1986,1,1,328410.19,0,1998750.38
