geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Bas-Sassandra,1_analytic_mean,26125,1,1979,1,1,1043347.81,0,4151250.5
Montagnes,1_analytic_mean,26125,1,1979,1,1,184500.09,0,1383750.38
Woroba,1_analytic_mean,26135,1,1979,1,1,133762.59,0,922500.38
Bas-Sassandra,1_analytic_mean,26136,1,1979,1,1,146481024,0,241399488
Lagunes,1_analytic_mean,26136,1,1979,1,1,83025.05,0,768750.38
District Autonome d'Abidjan,1_analytic_mean,26136,1,1979,1,1,67342.54,0,461250.34
0,1_analytic_mean,26136,1,1979,1,1,1699245.75,0,2613750.5
Bas-Sassandra,1_analytic_mean,26148,1,1979,1,1,594090.25,0,2767500.5
River Ghee,1_analytic_mean,26148,1,1979,1,1,33210.02,0,307500.22
Zanzan,1_analytic_mean,26162,1,1979,1,1,16605.01,0,153750.09
Lacs,1_analytic_mean,26165,1,1979,1,1,49815.03,0,461250.34
Comoé,1_analytic_mean,26165,1,1979,1,1,102397.55,0,461250.34
Zanzan,1_analytic_mean,26165,1,1979,1,1,16605.01,0,153750.09
Savanes,1_analytic_mean,26172,1,1979,1,1,37835368,0,146683328
Bas-Sassandra,1_analytic_mean,26172,1,1979,1,1,43473048,0,68265728
Gôh-Djiboua,1_analytic_mean,26172,1,1979,1,1,2092538.12,0,5535000.5
Montagnes,1_analytic_mean,26172,1,1979,1,1,31247040,0,81950368
Sassandra-Marahoué,1_analytic_mean,26172,1,1979,1,1,35335900,0,76107488
Cascades,1_analytic_mean,26172,1,1979,1,1,1080863,0,2460000.5
Sikasso,1_analytic_mean,26172,1,1979,1,1,1459702.88,0,3075000.5
Lacs,1_analytic_mean,26172,1,1979,1,1,43485356,0,94558688
Denguele,1_analytic_mean,26172,1,1979,1,1,6930435.5,0,26598878
District Autonome de Yamoussoukro,1_analytic_mean,26172,1,1979,1,1,1484610.75,0,2460000.5
Lagunes,1_analytic_mean,26172,1,1979,1,1,47466300,0,74877408
District Autonome d'Abidjan,1_analytic_mean,26172,1,1979,1,1,86829272,0,273995456
Comoé,1_analytic_mean,26172,1,1979,1,1,61171184,0,127770848
Zanzan,1_analytic_mean,26172,1,1979,1,1,15064134,0,44434112
Valleé du Bandama,1_analytic_mean,26172,1,1979,1,1,17123478,0,47047896
Savannah,1_analytic_mean,26172,1,1979,1,1,516600.28,0,615000.38
Woroba,1_analytic_mean,26172,1,1979,1,1,10092153,0,35977752
N'Zerekore,1_analytic_mean,26172,1,1979,1,1,50737.53,0,307500.22
Nimba,1_analytic_mean,26172,1,1979,1,1,143295.08,0,307500.22
Savanes,1_analytic_mean,26178,1,1979,1,1,33210.02,0,307500.22
Denguele,1_analytic_mean,26178,1,1979,1,1,16605.01,0,153750.09
Gôh-Djiboua,1_analytic_mean,26268,2,1980,1,1,153135.09,0,922500.38
Sassandra-Marahoué,1_analytic_mean,26268,2,1980,1,1,33210.02,0,307500.22
Sassandra-Marahoué,1_analytic_mean,26269,2,1980,1,1,66420.04,0,615000.38
District Autonome de Yamoussoukro,1_analytic_mean,26269,2,1980,1,1,136530.09,0,768750.38
Valleé du Bandama,1_analytic_mean,26269,2,1980,1,1,16605.01,0,153750.09
Zanzan,1_analytic_mean,26282,2,1980,1,1,206025.08,0,1230000.38
Savanes,1_analytic_mean,26306,2,1980,1,1,16605.01,0,153750.09
Sassandra-Marahoué,1_analytic_mean,26306,2,1980,1,1,207562.62,0,615000.38
Woroba,1_analytic_mean,26306,2,1980,1,1,442800.19,0,2152500.5
Montagnes,1_analytic_mean,26314,2,1980,1,1,16605.01,0,153750.09
Savanes,1_analytic_mean,26334,2,1980,1,1,119925.08,0,615000.38
Zanzan,1_analytic_mean,26334,2,1980,1,1,2802555.5,0,8763751
Savannah,1_analytic_mean,26334,2,1980,1,1,516600.28,0,615000.38
Woroba,1_analytic_mean,26345,2,1980,1,1,67342.54,0,461250.34
Bas-Sassandra,1_analytic_mean,26365,2,1980,1,1,1238302.88,0,2921250.5
Montagnes,1_analytic_mean,26365,2,1980,1,1,5179530.5,0,10301251
Grand Gedeh,1_analytic_mean,26365,2,1980,1,1,33210.02,0,307500.22
River Ghee,1_analytic_mean,26365,2,1980,1,1,129150.08,0,153750.09
Montagnes,1_analytic_mean,26372,2,1980,1,1,5965334.5,0,22447574
Nimba,1_analytic_mean,26372,2,1980,1,1,1364968.62,0,2921250.5
Denguele,1_analytic_mean,26469,3,1981,1,1,496305.25,0,2152500.5
Zanzan,1_analytic_mean,26469,3,1981,1,1,884677.81,0,3690000.5
Savannah,1_analytic_mean,26469,3,1981,1,1,397905.22,0,615000.38
Savanes,1_analytic_mean,26532,4,1982,1,1,66420.04,0,615000.38
Valleé du Bandama,1_analytic_mean,26532,4,1982,1,1,33210.02,0,307500.22
Lacs,1_analytic_mean,26544,4,1982,1,1,84870.05,0,461250.34
Valleé du Bandama,1_analytic_mean,26544,4,1982,1,1,49815.03,0,461250.34
