countrycode,sidx,return_period,loss
GH,Sample1,2,25194.488281
GH,Sample1,5,116214.984375
GH,Sample1,10,175954.640625
GH,Sample1,20,230323.265625
GH,Sample1,25,247081.859375
GH,Sample1,50,316032.6875
GH,Sample1,75,383724.40625
GH,Sample1,100,454082.96875
GH,Sample1,150,506901.90625
GH,Sample1,200,560841.4375
GH,Sample1,250,597209.125
GH,Sample1,300,632756.5625
GH,Sample1,400,677632.6875
GH,Sample1,500,714700.875
GH,Sample1,600,735341.8125
GH,Sample1,700,756095.25
GH,Sample1,800,775392.25
GH,Sample1,900,849224.6875
GH,Sample1,1000,871645.625
GH,Sample1,1500,962352.5
