geogname1,sidx,return_period,loss
0,Sample1,2,0.0
0,Sample1,5,0.0
0,Sample1,10,0.0
0,Sample1,20,0.0
0,Sample1,25,0.0
0,Sample1,50,2.9172
0,Sample1,75,3.2760000000000002
0,Sample1,100,3.2760000000000002
0,Sample1,150,12.0276
0,Sample1,200,13.104000000000001
0,Sample1,250,20.779202
0,Sample1,300,132.965973
0,Sample1,400,145.860001
0,Sample1,500,145.860001
0,Sample1,600,145.860001
0,Sample1,700,145.860001
0,Sample1,800,147.260254
0,Sample1,900,151.34433
0,Sample1,1000,151.694397
0,Sample1,1500,175.615448
Ahafo,Sample1,2,0.0
Ahafo,Sample1,5,347.256012
Ahafo,Sample1,10,1637.376343
Ahafo,Sample1,20,3122.022949
Ahafo,Sample1,25,3375.891846
Ahafo,Sample1,50,5237.466309
Ahafo,Sample1,75,6468.974609000001
Ahafo,Sample1,100,6922.157715
Ahafo,Sample1,150,7477.098145
Ahafo,Sample1,200,8068.746094
Ahafo,Sample1,250,8594.992188
Ahafo,Sample1,300,8881.631836
Ahafo,Sample1,400,9479.197266
Ahafo,Sample1,500,10298.503906
Ahafo,Sample1,600,10649.323242
Ahafo,Sample1,700,10819.176758
Ahafo,Sample1,800,11073.524414
Ahafo,Sample1,900,11635.802734
Ahafo,Sample1,1000,11717.933594
Ahafo,Sample1,1500,12722.241211
Ashanti,Sample1,2,6.5520000000000005
Ashanti,Sample1,5,3449.998779
Ashanti,Sample1,10,10020.412109
Ashanti,Sample1,20,36264.390625
Ashanti,Sample1,25,42692.925781
Ashanti,Sample1,50,74474.304688
Ashanti,Sample1,75,87608.210938
Ashanti,Sample1,100,101292.992188
Ashanti,Sample1,150,121958.39843800002
Ashanti,Sample1,200,136596.109375
Ashanti,Sample1,250,151550.078125
Ashanti,Sample1,300,163653.25
Ashanti,Sample1,400,178037.90625
Ashanti,Sample1,500,197604.875
Ashanti,Sample1,600,216052.046875
Ashanti,Sample1,700,217611.21875
Ashanti,Sample1,800,231397.34375
Ashanti,Sample1,900,248371.859375
Ashanti,Sample1,1000,256206.96875
Ashanti,Sample1,1500,278678.59375
Bono,Sample1,2,0.0
Bono,Sample1,5,715.66571
Bono,Sample1,10,1820.395264
Bono,Sample1,20,3301.193115
Bono,Sample1,25,3704.110107
Bono,Sample1,50,6313.958008
Bono,Sample1,75,7027.639648
Bono,Sample1,100,7693.998047
Bono,Sample1,150,8237.404297
Bono,Sample1,200,8957.30957
Bono,Sample1,250,9228.966797
Bono,Sample1,300,9660.748047
Bono,Sample1,400,10010.831055
Bono,Sample1,500,10596.969727
Bono,Sample1,600,10783.505859
Bono,Sample1,700,10982.391602
Bono,Sample1,800,11125.193359
Bono,Sample1,900,11257.586914
Bono,Sample1,1000,11284.37793
Bono,Sample1,1500,12118.922852
Bono East,Sample1,2,19.655998
Bono East,Sample1,5,1136.865723
Bono East,Sample1,10,5089.125
Bono East,Sample1,20,7231.026855
Bono East,Sample1,25,7932.186523
Bono East,Sample1,50,10262.685547
Bono East,Sample1,75,11572.176758
Bono East,Sample1,100,11971.794922
Bono East,Sample1,150,12383.319336
Bono East,Sample1,200,12661.671875
Bono East,Sample1,250,12808.216797
Bono East,Sample1,300,12974.375977
Bono East,Sample1,400,13287.135742
Bono East,Sample1,500,13591.945312
Bono East,Sample1,600,13792.966797
Bono East,Sample1,700,13824.865234
Bono East,Sample1,800,13873.395508
Bono East,Sample1,900,14044.139647999997
Bono East,Sample1,1000,14182.898438
Bono East,Sample1,1500,15116.374022999997
Central,Sample1,2,0.0
Central,Sample1,5,4013.898193
Central,Sample1,10,11464.912109
Central,Sample1,20,22535.578125
Central,Sample1,25,23056.458984
Central,Sample1,50,28359.462891000006
Central,Sample1,75,32722.285156
Central,Sample1,100,36318.964844
Central,Sample1,150,42903.996094
Central,Sample1,200,46192.757812
Central,Sample1,250,50375.699219
Central,Sample1,300,54486.24609400001
Central,Sample1,400,60927.375
Central,Sample1,500,65437.34375
Central,Sample1,600,68297.0
Central,Sample1,700,71346.117188
Central,Sample1,800,72018.96875
Central,Sample1,900,72406.117188
Central,Sample1,1000,74079.414062
Central,Sample1,1500,79893.0625
Centre-est,Sample1,2,0.0
Centre-est,Sample1,5,0.0
Centre-est,Sample1,10,39.312004
Centre-est,Sample1,20,87.422409
Centre-est,Sample1,25,97.250412
Centre-est,Sample1,50,103.084808
Centre-est,Sample1,75,129.292816
Centre-est,Sample1,100,181.708817
Centre-est,Sample1,150,184.775772
Centre-est,Sample1,200,201.006012
Centre-est,Sample1,250,206.169617
Centre-est,Sample1,300,222.824173
Centre-est,Sample1,400,227.21402
Centre-est,Sample1,500,227.21402
Centre-est,Sample1,600,233.766022
Centre-est,Sample1,700,233.766022
Centre-est,Sample1,800,240.373566
Centre-est,Sample1,900,249.359772
Centre-est,Sample1,1000,250.146027
Centre-est,Sample1,1500,250.146027
Centre-ouest,Sample1,2,0.0
Centre-ouest,Sample1,5,0.0
Centre-ouest,Sample1,10,0.0
Centre-ouest,Sample1,20,3.2760000000000002
Centre-ouest,Sample1,25,6.5520000000000005
Centre-ouest,Sample1,50,9.828
Centre-ouest,Sample1,75,9.828
Centre-ouest,Sample1,100,13.104000000000001
Centre-ouest,Sample1,150,22.932003
Centre-ouest,Sample1,200,29.484003
Centre-ouest,Sample1,250,62.243996
Centre-ouest,Sample1,300,85.17600300000002
Centre-ouest,Sample1,400,88.452003
Centre-ouest,Sample1,500,91.728004
Centre-ouest,Sample1,600,95.004005
Centre-ouest,Sample1,700,95.004005
Centre-ouest,Sample1,800,98.280006
Centre-ouest,Sample1,900,98.280006
Centre-ouest,Sample1,1000,101.556007
Centre-ouest,Sample1,1500,135.298813
Centre-sud,Sample1,2,0.0
Centre-sud,Sample1,5,0.0
Centre-sud,Sample1,10,3.2760000000000002
Centre-sud,Sample1,20,242.424011
Centre-sud,Sample1,25,262.080017
Centre-sud,Sample1,50,304.66803
Centre-sud,Sample1,75,383.292053
Centre-sud,Sample1,100,386.568054
Centre-sud,Sample1,150,485.929138
Centre-sud,Sample1,200,520.884033
Centre-sud,Sample1,250,550.368042
Centre-sud,Sample1,300,553.644043
Centre-sud,Sample1,400,632.268066
Centre-sud,Sample1,500,651.924072
Centre-sud,Sample1,600,664.765991
Centre-sud,Sample1,700,678.132141
Centre-sud,Sample1,800,685.739929
Centre-sud,Sample1,900,708.011108
Centre-sud,Sample1,1000,730.5481570000002
Centre-sud,Sample1,1500,892.7102050000002
Eastern,Sample1,2,6.5520000000000005
Eastern,Sample1,5,2097.311035
Eastern,Sample1,10,13038.37207
Eastern,Sample1,20,16417.867188
Eastern,Sample1,25,17819.289062
Eastern,Sample1,50,25134.320312
Eastern,Sample1,75,28138.199219
Eastern,Sample1,100,32662.933594
Eastern,Sample1,150,39291.3125
Eastern,Sample1,200,47336.34375
Eastern,Sample1,250,56154.78125
Eastern,Sample1,300,63073.546875
Eastern,Sample1,400,71331.070312
Eastern,Sample1,500,88562.398438
