countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
GH,1_analytic_mean,10273992,9433,9433,1,1,1316021632.0,0.0,4084176384.0
GH,1_analytic_mean,9352947,2217,2217,1,1,1308585344.0,0.0,4049360384.0
GH,1_analytic_mean,9367767,2335,2335,1,1,1306806784.0,0.0,4041577984.0
GH,1_analytic_mean,10325789,9836,9836,1,1,1111593600.0,0.0,3405673984.0
GH,1_analytic_mean,9370500,2357,2357,1,1,1063904448.0,0.0,3326211584.0
GH,1_analytic_mean,10092975,8005,8005,1,1,1011522816.0,0.0,3178755584.0
GH,1_analytic_mean,10162563,8554,8554,1,1,996725120.0,0.0,3107075584.0
GH,1_analytic_mean,10237246,9145,9145,1,1,957367232.0,0.0,2976208384.0
GH,1_analytic_mean,9872675,6291,6291,1,1,917204352.0,0.0,2942006784.0
GH,1_analytic_mean,9868803,6262,6262,1,1,882878464.0,0.0,2846569984.0
GH,1_analytic_mean,9202838,1038,1038,1,1,848880832.0,0.0,2703209984.0
GH,1_analytic_mean,9371956,2369,2369,1,1,827789696.0,0.0,2669008384.0
GH,1_analytic_mean,10149371,8452,8452,1,1,807955712.0,0.0,2664297984.0
GH,1_analytic_mean,9320292,1961,1961,1,1,792005440.0,0.0,2638493184.0
GH,1_analytic_mean,9256760,1460,1460,1,1,763253376.0,0.0,2526672384.0
GH,1_analytic_mean,10173199,8636,8636,1,1,729456960.0,0.0,2424477184.0
GH,1_analytic_mean,9760090,5414,5414,1,1,726730240.0,0.0,2395395584.0
GH,1_analytic_mean,9374085,2386,2386,1,1,726417088.0,0.0,2472809984.0
GH,1_analytic_mean,9748604,5326,5326,1,1,720393536.0,0.0,2414441984.0
GH,1_analytic_mean,9564220,3867,3867,1,1,703346560.0,0.0,2406045184.0
GH,1_analytic_mean,9827473,5936,5936,1,1,698832640.0,0.0,2383721984.0
GH,1_analytic_mean,9884095,6382,6382,1,1,697137280.0,0.0,2330064384.0
GH,1_analytic_mean,9845371,6077,6077,1,1,683945792.0,0.0,2224797184.0
GH,1_analytic_mean,9559556,3830,3830,1,1,675994560.0,0.0,2320643584.0
GH,1_analytic_mean,10100405,8063,8063,1,1,672758656.0,0.0,2319209984.0
GH,1_analytic_mean,9148477,609,609,1,1,667777984.0,0.0,2295862784.0
GH,1_analytic_mean,9863099,6216,6216,1,1,648211968.0,0.0,2217629184.0
GH,1_analytic_mean,9672014,4719,4719,1,1,636812928.0,0.0,2200221184.0
GH,1_analytic_mean,10057357,7729,7729,1,1,635896512.0,0.0,2195510784.0
GH,1_analytic_mean,10277804,9461,9461,1,1,631049472.0,0.0,2204726784.0
