geogname1,type,loss,standard_deviation,exposure_value
Diana,1_analytic_mean,1750.951596,5851.219408,63784.003906
Sava,1_analytic_mean,10360.703226,27829.816917,354908.5625
Sofia,1_analytic_mean,7663.722875,20615.799797,177618.75
Boeny,1_analytic_mean,4130.359032,12669.770044,80715.9375
Analanjirofo,1_analytic_mean,8579.795797,20982.792158,174066.71875
Melaky,1_analytic_mean,706.772734,1662.49576,10173.121094
Alaotra Mangoro,1_analytic_mean,3758.091673,10189.602326,80884.210938
Betsiboka,1_analytic_mean,2155.66036,5816.610839,30870.166016
Menabe,1_analytic_mean,2516.690456,6522.566704,39830.019531
Bongolava,1_analytic_mean,132.074564,362.791766,2875.576416
Analamanga,1_analytic_mean,5992.148063,20424.249525,158931.171875
Atsinanana,1_analytic_mean,8437.935021,21622.290041,194816.96875
Itasy,1_analytic_mean,206.51837,654.377291,4718.661621
Vakinankaratra,1_analytic_mean,812.279936,2550.684139,25334.0625
Amoron'i Mania,1_analytic_mean,444.701623,1399.155656,12879.291992
Vatovavy Fitovinany,1_analytic_mean,6027.313193,16472.867449,133678.3125
Atsimo Andrefana,1_analytic_mean,2482.245579,7290.620074,69736.875
Haute Matsiatra,1_analytic_mean,524.07683,1517.254033,18054.369141
Ihorombe,1_analytic_mean,527.978438,1548.849081,12654.724609
Anosy,1_analytic_mean,742.000799,1930.526299,23453.339844
Atsimo Atsinanana,1_analytic_mean,1328.318627,3177.426987,35199.558594
Androy,1_analytic_mean,327.065997,1010.617468,16575.347656
Diana,2_sample_mean,1750.951596,5851.219408,63784.003906
Sava,2_sample_mean,10360.703226,27829.816917,354908.5625
Sofia,2_sample_mean,7663.722875,20615.799797,177618.75
Boeny,2_sample_mean,4130.359032,12669.770044,80715.9375
Analanjirofo,2_sample_mean,8579.795797,20982.792158,174066.71875
Melaky,2_sample_mean,706.772734,1662.49576,10173.121094
Alaotra Mangoro,2_sample_mean,3758.091673,10189.602326,80884.210938
Betsiboka,2_sample_mean,2155.66036,5816.610839,30870.166016
Menabe,2_sample_mean,2516.690456,6522.566704,39830.019531
Bongolava,2_sample_mean,132.074564,362.791766,2875.576416
Analamanga,2_sample_mean,5992.148063,20424.249525,158931.171875
Atsinanana,2_sample_mean,8437.935021,21622.290041,194816.96875
Itasy,2_sample_mean,206.51837,654.377291,4718.661621
Vakinankaratra,2_sample_mean,812.279936,2550.684139,25334.0625
Amoron'i Mania,2_sample_mean,444.701623,1399.155656,12879.291992
Vatovavy Fitovinany,2_sample_mean,6027.313193,16472.867449,133678.3125
Atsimo Andrefana,2_sample_mean,2482.245579,7290.620074,69736.875
Haute Matsiatra,2_sample_mean,524.07683,1517.254033,18054.369141
Ihorombe,2_sample_mean,527.978438,1548.849081,12654.724609
Anosy,2_sample_mean,742.000799,1930.526299,23453.339844
Atsimo Atsinanana,2_sample_mean,1328.318627,3177.426987,35199.558594
Androy,2_sample_mean,327.065997,1010.617468,16575.347656
