geogname1,sidx,return_period,loss
Alaotra Mangoro,Sample1,2,0.0
Alaotra Mangoro,Sample1,5,3027.715088
Alaotra Mangoro,Sample1,10,11315.31543
Alaotra Mangoro,Sample1,15,19986.226562
Alaotra Mangoro,Sample1,20,25336.900391
Alaotra Mangoro,Sample1,50,42220.222656
Alaotra Mangoro,Sample1,75,48022.621094
Alaotra Mangoro,Sample1,100,51541.976562
Alaotra Mangoro,Sample1,200,59057.796875
Alaotra Mangoro,Sample1,250,64768.609375
Alaotra Mangoro,Sample1,500,75714.296875
Alaotra Mangoro,Sample1,750,80099.71875
Alaotra Mangoro,Sample1,1000,84888.867188
Amoron'i Mania,Sample1,2,0.0
Amoron'i Mania,Sample1,5,74.820007
Amoron'i Mania,Sample1,10,1324.315674
Amoron'i Mania,Sample1,15,2146.500732
Amoron'i Mania,Sample1,20,3618.788818
Amoron'i Mania,Sample1,50,6190.10498
Amoron'i Mania,Sample1,75,6795.284668
Amoron'i Mania,Sample1,100,7207.658691
Amoron'i Mania,Sample1,200,8080.568359
Amoron'i Mania,Sample1,250,8367.379883
Amoron'i Mania,Sample1,500,9023.298828
Amoron'i Mania,Sample1,750,10275.961914
Amoron'i Mania,Sample1,1000,10594.576172
Analamanga,Sample1,2,0.0
Analamanga,Sample1,5,231.942123
Analamanga,Sample1,10,9354.378906
Analamanga,Sample1,15,42573.054688
Analamanga,Sample1,20,60897.878906
Analamanga,Sample1,50,85902.570312
Analamanga,Sample1,75,94725.546875
Analamanga,Sample1,100,100204.304688
Analamanga,Sample1,200,113642.085938
Analamanga,Sample1,250,118473.390625
Analamanga,Sample1,500,130707.148438
Analamanga,Sample1,750,143624.734375
Analamanga,Sample1,1000,146804.328125
Analanjirofo,Sample1,2,0.0
Analanjirofo,Sample1,5,9427.330078
Analanjirofo,Sample1,10,27000.251953
Analanjirofo,Sample1,15,39267.386719
Analanjirofo,Sample1,20,49317.363281
Analanjirofo,Sample1,50,85940.71875
Analanjirofo,Sample1,75,100959.507812
Analanjirofo,Sample1,100,106772.054688
Analanjirofo,Sample1,200,128488.617188
Analanjirofo,Sample1,250,135457.1875
Analanjirofo,Sample1,500,152344.53125
Analanjirofo,Sample1,750,162775.390625
Analanjirofo,Sample1,1000,171254.515625
Androy,Sample1,2,0.0
Androy,Sample1,5,102.253998
Androy,Sample1,10,1142.252075
Androy,Sample1,15,1700.906006
Androy,Sample1,20,2187.239258
Androy,Sample1,50,3476.634277
Androy,Sample1,75,3953.798096
Androy,Sample1,100,4578.981934
Androy,Sample1,200,5910.776367
Androy,Sample1,250,6262.429199
Androy,Sample1,500,8147.898926
Androy,Sample1,750,9969.291016
Androy,Sample1,1000,11704.388672
Anosy,Sample1,2,0.0
Anosy,Sample1,5,635.969971
Anosy,Sample1,10,2538.890625
Anosy,Sample1,15,3943.006104
Anosy,Sample1,20,4756.057129
Anosy,Sample1,50,7147.812988
Anosy,Sample1,75,8243.483398
Anosy,Sample1,100,8938.491211
Anosy,Sample1,200,11050.970703
Anosy,Sample1,250,12465.105469
Anosy,Sample1,500,14889.193359
Anosy,Sample1,750,16074.849609
Anosy,Sample1,1000,16585.289062
Atsimo Andrefana,Sample1,2,37.41
Atsimo Andrefana,Sample1,5,840.477783
Atsimo Andrefana,Sample1,10,8200.28125
Atsimo Andrefana,Sample1,15,13392.5
Atsimo Andrefana,Sample1,20,16959.232422
Atsimo Andrefana,Sample1,50,29245.960938
Atsimo Andrefana,Sample1,75,34910.785156
Atsimo Andrefana,Sample1,100,39539.855469
Atsimo Andrefana,Sample1,200,45730.269531
Atsimo Andrefana,Sample1,250,49450.070312
Atsimo Andrefana,Sample1,500,55572.570312
Atsimo Andrefana,Sample1,750,57797.425781
Atsimo Andrefana,Sample1,1000,58364.925781
Atsimo Atsinanana,Sample1,2,0.0
Atsimo Atsinanana,Sample1,5,1915.395874
Atsimo Atsinanana,Sample1,10,4025.300781
Atsimo Atsinanana,Sample1,15,5683.819336
Atsimo Atsinanana,Sample1,20,7107.899902
Atsimo Atsinanana,Sample1,50,12500.087891
Atsimo Atsinanana,Sample1,75,14659.862305
Atsimo Atsinanana,Sample1,100,16273.666016
Atsimo Atsinanana,Sample1,200,19094.408203
Atsimo Atsinanana,Sample1,250,20882.642578
Atsimo Atsinanana,Sample1,500,26262.259766
Atsimo Atsinanana,Sample1,750,28149.589844
Atsimo Atsinanana,Sample1,1000,29359.777344
Atsinanana,Sample1,2,0.0
Atsinanana,Sample1,5,5357.110352
Atsinanana,Sample1,10,31193.152344
Atsinanana,Sample1,15,49596.652344
Atsinanana,Sample1,20,62569.914062
Atsinanana,Sample1,50,85120.382812
Atsinanana,Sample1,75,93790.710938
Atsinanana,Sample1,100,99357.46875
Atsinanana,Sample1,200,113911.328125
Atsinanana,Sample1,250,118699.84375
Atsinanana,Sample1,500,136785.171875
Atsinanana,Sample1,750,145609.984375
Atsinanana,Sample1,1000,150310.421875
Betsiboka,Sample1,2,0.0
Betsiboka,Sample1,5,531.221863
Betsiboka,Sample1,10,12143.325195
Betsiboka,Sample1,15,13583.188477
Betsiboka,Sample1,20,14367.985352
Betsiboka,Sample1,50,24847.832031
Betsiboka,Sample1,75,26207.785156
Betsiboka,Sample1,100,26882.953125
Betsiboka,Sample1,200,29105.126953
Betsiboka,Sample1,250,29950.558594
Betsiboka,Sample1,500,34257.707031
Betsiboka,Sample1,750,40151.195312
Betsiboka,Sample1,1000,40924.21875
Boeny,Sample1,2,0.0
Boeny,Sample1,5,1379.183228
Boeny,Sample1,10,11595.353516
Boeny,Sample1,15,21110.384766
Boeny,Sample1,20,26930.347656
Boeny,Sample1,50,54250.203125
Boeny,Sample1,75,63385.585938
Boeny,Sample1,100,66451.210938
Boeny,Sample1,200,77671.9375
Boeny,Sample1,250,80962.640625
Boeny,Sample1,500,95892.171875
Boeny,Sample1,750,102587.984375
Boeny,Sample1,1000,109130.382812
Bongolava,Sample1,2,0.0
Bongolava,Sample1,5,92.278
Bongolava,Sample1,10,446.425995
Bongolava,Sample1,15,725.753967
Bongolava,Sample1,20,905.322021
Bongolava,Sample1,50,1454.00293
Bongolava,Sample1,75,1705.885498
Bongolava,Sample1,100,1848.055908
Bongolava,Sample1,200,2159.808105
Bongolava,Sample1,250,2294.47998
Bongolava,Sample1,500,2466.567871
Bongolava,Sample1,750,2632.793701
Bongolava,Sample1,1000,2890.54541
Diana,Sample1,2,0.0
Diana,Sample1,5,906.366272
Diana,Sample1,10,4127.57373
Diana,Sample1,15,7971.683105
Diana,Sample1,20,10372.554688
Diana,Sample1,50,23973.375
Diana,Sample1,75,29513.285156
Diana,Sample1,100,32996.867188
Diana,Sample1,200,37566.457031
Diana,Sample1,250,40334.214844
Diana,Sample1,500,51781.289062
Diana,Sample1,750,54120.917969
Diana,Sample1,1000,58536.914062
Haute Matsiatra,Sample1,2,0.0
Haute Matsiatra,Sample1,5,324.220001
Haute Matsiatra,Sample1,10,1453.887817
Haute Matsiatra,Sample1,15,2987.497559
Haute Matsiatra,Sample1,20,3995.715088
Haute Matsiatra,Sample1,50,6039.203125
Haute Matsiatra,Sample1,75,6749.789062
Haute Matsiatra,Sample1,100,7324.665039
Haute Matsiatra,Sample1,200,8256.53418
Haute Matsiatra,Sample1,250,8810.34375
Haute Matsiatra,Sample1,500,10778.041016
Haute Matsiatra,Sample1,750,12751.248047
Haute Matsiatra,Sample1,1000,14779.800781
Ihorombe,Sample1,2,0.0
Ihorombe,Sample1,5,299.279938
Ihorombe,Sample1,10,1351.748657
Ihorombe,Sample1,15,2648.627197
Ihorombe,Sample1,20,3688.616699
Ihorombe,Sample1,50,6798.645996
Ihorombe,Sample1,75,7886.037598
Ihorombe,Sample1,100,8282.591797
Ihorombe,Sample1,200,9242.791992
Ihorombe,Sample1,250,9636.850586
Ihorombe,Sample1,500,10696.8125
Ihorombe,Sample1,750,11580.933594
Ihorombe,Sample1,1000,11689.428711
Itasy,Sample1,2,0.0
Itasy,Sample1,5,17.458
Itasy,Sample1,10,443.931946
Itasy,Sample1,15,1219.563721
Itasy,Sample1,20,1823.115356
Itasy,Sample1,50,2758.362061
Itasy,Sample1,75,3094.215576
Itasy,Sample1,100,3294.570801
Itasy,Sample1,200,3731.018311
Itasy,Sample1,250,3818.308594
Itasy,Sample1,500,4239.793457
Itasy,Sample1,750,4366.366699
Itasy,Sample1,1000,4564.016113
Melaky,Sample1,2,0.0
Melaky,Sample1,5,516.257996
Melaky,Sample1,10,2738.410645
Melaky,Sample1,15,4060.230225
Melaky,Sample1,20,4708.671387
Melaky,Sample1,50,6476.903809
Melaky,Sample1,75,7196.794434
Melaky,Sample1,100,7671.539062
Melaky,Sample1,200,8886.111328
Melaky,Sample1,250,9230.300781
Melaky,Sample1,500,10310.198242
Melaky,Sample1,750,10921.970703
Melaky,Sample1,1000,11322.75
Menabe,Sample1,2,0.0
Menabe,Sample1,5,1962.782349
Menabe,Sample1,10,8424.744141
Menabe,Sample1,15,14699.6875
Menabe,Sample1,20,16490.427734
Menabe,Sample1,50,27571.261719
Menabe,Sample1,75,32401.408203
Menabe,Sample1,100,34614.390625
Menabe,Sample1,200,37809.28125
Menabe,Sample1,250,38400.351562
Menabe,Sample1,500,39784.554688
Menabe,Sample1,750,41293.03125
Menabe,Sample1,1000,42712.570312
Sava,Sample1,2,0.0
Sava,Sample1,5,9621.858398
Sava,Sample1,10,32691.414062
Sava,Sample1,15,50641.164062
Sava,Sample1,20,61084.734375
Sava,Sample1,50,100080.992188
Sava,Sample1,75,125533.703125
Sava,Sample1,100,142619.828125
Sava,Sample1,200,179459.828125
Sava,Sample1,250,185852.375
Sava,Sample1,500,215894.671875
Sava,Sample1,750,242561.5
Sava,Sample1,1000,280698.71875
Sofia,Sample1,2,354.148071
Sofia,Sample1,5,7619.174805
Sofia,Sample1,10,19475.972656
Sofia,Sample1,15,29613.201172
Sofia,Sample1,20,40038.304688
Sofia,Sample1,50,85833.421875
Sofia,Sample1,75,106887.40625
Sofia,Sample1,100,116596.453125
Sofia,Sample1,200,137733.75
Sofia,Sample1,250,147262.484375
Sofia,Sample1,500,158993.46875
Sofia,Sample1,750,165881.640625
Sofia,Sample1,1000,169027.25
Vakinankaratra,Sample1,2,0.0
Vakinankaratra,Sample1,5,291.798065
Vakinankaratra,Sample1,10,2235.321533
Vakinankaratra,Sample1,15,4205.70459
Vakinankaratra,Sample1,20,5577.680664
Vakinankaratra,Sample1,50,10753.648438
Vakinankaratra,Sample1,75,13074.4375
Vakinankaratra,Sample1,100,14369.535156
Vakinankaratra,Sample1,200,16373.81543
Vakinankaratra,Sample1,250,16873.220703
Vakinankaratra,Sample1,500,19299.642578
Vakinankaratra,Sample1,750,19739.25
Vakinankaratra,Sample1,1000,20457.621094
Vatovavy Fitovinany,Sample1,2,0.0
Vatovavy Fitovinany,Sample1,5,4838.364258
Vatovavy Fitovinany,Sample1,10,20443.585938
Vatovavy Fitovinany,Sample1,15,28907.517578
Vatovavy Fitovinany,Sample1,20,36325.601562
Vatovavy Fitovinany,Sample1,50,62399.386719
Vatovavy Fitovinany,Sample1,75,74584.1875
Vatovavy Fitovinany,Sample1,100,84509.820312
Vatovavy Fitovinany,Sample1,200,106704.304688
Vatovavy Fitovinany,Sample1,250,112609.710938
Vatovavy Fitovinany,Sample1,500,129452.359375
Vatovavy Fitovinany,Sample1,750,137219.828125
Vatovavy Fitovinany,Sample1,1000,142913.40625
