geogname1,sidx,return_period,loss
Alaotra Mangoro,Sample1,2,0.0
Alaotra Mangoro,Sample1,5,2244.599854
Alaotra Mangoro,Sample1,10,8873.660156
Alaotra Mangoro,Sample1,15,15087.106445
Alaotra Mangoro,Sample1,20,19044.349609
Alaotra Mangoro,Sample1,50,30359.900391
Alaotra Mangoro,Sample1,75,34340.980469
Alaotra Mangoro,Sample1,100,36941.089844
Alaotra Mangoro,Sample1,200,43197.976562
Alaotra Mangoro,Sample1,250,46800.015625
Alaotra Mangoro,Sample1,500,55360.414062
Alaotra Mangoro,Sample1,750,60687.457031
Alaotra Mangoro,Sample1,1000,62722.148438
Amoron'i Mania,Sample1,2,0.0
Amoron'i Mania,Sample1,5,72.325996
Amoron'i Mania,Sample1,10,1057.456421
Amoron'i Mania,Sample1,15,1816.465332
Amoron'i Mania,Sample1,20,2840.661865
Amoron'i Mania,Sample1,50,4663.775391
Amoron'i Mania,Sample1,75,5186.680664
Amoron'i Mania,Sample1,100,5456.863281
Amoron'i Mania,Sample1,200,6192.602051
Amoron'i Mania,Sample1,250,6359.696289
Amoron'i Mania,Sample1,500,6970.727539
Amoron'i Mania,Sample1,750,7688.748047
Amoron'i Mania,Sample1,1000,7950.876465
Analamanga,Sample1,2,0.0
Analamanga,Sample1,5,182.062073
Analamanga,Sample1,10,6988.301758
Analamanga,Sample1,15,29630.664062
Analamanga,Sample1,20,46743.765625
Analamanga,Sample1,50,69199.09375
Analamanga,Sample1,75,75394.25
Analamanga,Sample1,100,79976.570312
Analamanga,Sample1,200,93804.085938
Analamanga,Sample1,250,98718.304688
Analamanga,Sample1,500,107464.203125
Analamanga,Sample1,750,114184.828125
Analamanga,Sample1,1000,121390.289062
Analanjirofo,Sample1,2,0.0
Analanjirofo,Sample1,5,6923.341797
Analanjirofo,Sample1,10,21338.767578
Analanjirofo,Sample1,15,30973.955078
Analanjirofo,Sample1,20,39612.140625
Analanjirofo,Sample1,50,67595.664062
Analanjirofo,Sample1,75,79024.648438
Analanjirofo,Sample1,100,84957.5
Analanjirofo,Sample1,200,99989.804688
Analanjirofo,Sample1,250,105607.234375
Analanjirofo,Sample1,500,119914.492188
Analanjirofo,Sample1,750,129058.507812
Analanjirofo,Sample1,1000,132079.1875
Androy,Sample1,2,0.0
Androy,Sample1,5,52.373997
Androy,Sample1,10,638.463989
Androy,Sample1,15,1009.237061
Androy,Sample1,20,1217.072876
Androy,Sample1,50,1947.815186
Androy,Sample1,75,2257.893066
Androy,Sample1,100,2546.374268
Androy,Sample1,200,3464.16333
Androy,Sample1,250,3845.748047
Androy,Sample1,500,4860.799316
Androy,Sample1,750,6765.09668
Androy,Sample1,1000,7998.261719
Anosy,Sample1,2,0.0
Anosy,Sample1,5,566.137817
Anosy,Sample1,10,1770.740112
Anosy,Sample1,15,2565.491211
Anosy,Sample1,20,3142.439453
Anosy,Sample1,50,4795.948242
Anosy,Sample1,75,5417.781738
Anosy,Sample1,100,5973.12793
Anosy,Sample1,200,7821.194824
Anosy,Sample1,250,8497.067383
Anosy,Sample1,500,10202.982422
Anosy,Sample1,750,11120.512695
Anosy,Sample1,1000,11492.433594
Atsimo Andrefana,Sample1,2,14.964
Atsimo Andrefana,Sample1,5,628.487976
Atsimo Andrefana,Sample1,10,6716.339844
Atsimo Andrefana,Sample1,15,11105.326172
Atsimo Andrefana,Sample1,20,14619.90332
Atsimo Andrefana,Sample1,50,23537.185547
Atsimo Andrefana,Sample1,75,28642.958984
Atsimo Andrefana,Sample1,100,31259.337891
Atsimo Andrefana,Sample1,200,36486.160156
Atsimo Andrefana,Sample1,250,38114.644531
Atsimo Andrefana,Sample1,500,42719.761719
Atsimo Andrefana,Sample1,750,46230.519531
Atsimo Andrefana,Sample1,1000,46890.519531
Atsimo Atsinanana,Sample1,2,0.0
Atsimo Atsinanana,Sample1,5,1401.630005
Atsimo Atsinanana,Sample1,10,3027.719482
Atsimo Atsinanana,Sample1,15,4228.975586
Atsimo Atsinanana,Sample1,20,5327.172363
Atsimo Atsinanana,Sample1,50,9237.806641
Atsimo Atsinanana,Sample1,75,10911.326172
Atsimo Atsinanana,Sample1,100,11921.429688
Atsimo Atsinanana,Sample1,200,14714.810547
Atsimo Atsinanana,Sample1,250,15697.517578
Atsimo Atsinanana,Sample1,500,20316.414062
Atsimo Atsinanana,Sample1,750,21197.169922
Atsimo Atsinanana,Sample1,1000,23015.103516
Atsinanana,Sample1,2,0.0
Atsinanana,Sample1,5,5060.322754
Atsinanana,Sample1,10,24276.003906
Atsinanana,Sample1,15,37443.398438
Atsinanana,Sample1,20,45199.210938
Atsinanana,Sample1,50,62034.132812
Atsinanana,Sample1,75,68034.023438
Atsinanana,Sample1,100,73479.75
Atsinanana,Sample1,200,82637.210938
Atsinanana,Sample1,250,86257.492188
Atsinanana,Sample1,500,101277.632812
Atsinanana,Sample1,750,105326.789062
Atsinanana,Sample1,1000,107101.234375
Betsiboka,Sample1,2,2.494
Betsiboka,Sample1,5,414.004028
Betsiboka,Sample1,10,11350.21582
Betsiboka,Sample1,15,12777.614258
Betsiboka,Sample1,20,13435.206055
Betsiboka,Sample1,50,22513.4375
Betsiboka,Sample1,75,24007.324219
Betsiboka,Sample1,100,24423.857422
Betsiboka,Sample1,200,26359.208984
Betsiboka,Sample1,250,27042.568359
Betsiboka,Sample1,500,29541.515625
Betsiboka,Sample1,750,35922.335938
Betsiboka,Sample1,1000,37305.394531
Boeny,Sample1,2,0.0
Boeny,Sample1,5,907.816345
Boeny,Sample1,10,9060.708984
Boeny,Sample1,15,17835.591797
Boeny,Sample1,20,22346.925781
Boeny,Sample1,50,44418.894531
Boeny,Sample1,75,52912.296875
Boeny,Sample1,100,55740.261719
Boeny,Sample1,200,65582.640625
Boeny,Sample1,250,67314.46875
Boeny,Sample1,500,80913.515625
Boeny,Sample1,750,88121.484375
Boeny,Sample1,1000,90655.59375
Bongolava,Sample1,2,0.0
Bongolava,Sample1,5,69.831993
Bongolava,Sample1,10,384.075867
Bongolava,Sample1,15,603.547913
Bongolava,Sample1,20,770.645752
Bongolava,Sample1,50,1261.964355
Bongolava,Sample1,75,1453.167603
