geogname1,type,loss,standard_deviation,exposure_value
Niassa,1_analytic_mean,1984.930182,4959.799199,35454.171875
Cabo Delgado,1_analytic_mean,1583.61683,3449.116782,36300.804688
Nampula,1_analytic_mean,2851.976652,6498.404472,70332.289062
Maputo,1_analytic_mean,5149.827047,17210.676079,166018.8125
Tete,1_analytic_mean,5403.260835,9774.098053,58923.679688
Zambezia,1_analytic_mean,5796.675518,11236.115539,91923.234375
Manica,1_analytic_mean,1675.729869,3726.514746,30981.589844
Sofala,1_analytic_mean,8853.45005,21758.468181,192042.34375
Gaza,1_analytic_mean,13182.159248,41984.206616,261694.984375
Inhambane,1_analytic_mean,4317.388818,11272.701111,89191.054688
Cidade de Maputo,1_analytic_mean,1156.987809,5507.433958,98722.070312
Niassa,2_sample_mean,1984.930182,4959.799199,35454.171875
Cabo Delgado,2_sample_mean,1583.61683,3449.116782,36300.804688
Nampula,2_sample_mean,2851.976652,6498.404472,70332.289062
Maputo,2_sample_mean,5149.827047,17210.676079,166018.8125
Tete,2_sample_mean,5403.260835,9774.098053,58923.679688
Zambezia,2_sample_mean,5796.675519,11236.115541,91923.234375
Manica,2_sample_mean,1675.729869,3726.514746,30981.589844
Sofala,2_sample_mean,8853.45005,21758.468181,192042.34375
Gaza,2_sample_mean,13182.159248,41984.206616,261694.984375
Inhambane,2_sample_mean,4317.388818,11272.701111,89191.054688
Cidade de Maputo,2_sample_mean,1156.987809,5507.433958,98722.070312
