geogname1,sidx,return_period,loss
Cabo Delgado,Sample1,1000.0,29355.583984
Cabo Delgado,Sample1,750.0,27337.990234
Cabo Delgado,Sample1,500.0,24280.367188
Cabo Delgado,Sample1,250.0,19086.082031
Cabo Delgado,Sample1,200.0,17868.716797
Cabo Delgado,Sample1,100.0,15855.129883
Cabo Delgado,Sample1,75.0,14413.000977
Cabo Delgado,Sample1,50.0,13135.716797
Cabo Delgado,Sample1,20.0,9205.124023
Cabo Delgado,Sample1,15.0,7441.762207
Cabo Delgado,Sample1,10.0,5292.730469
Cabo Delgado,Sample1,5.0,2321.536377
Cabo Delgado,Sample1,2.0,22.264
Cidade de Maputo,Sample1,1000.0,73230.445312
Cidade de Maputo,Sample1,750.0,69608.585938
Cidade de Maputo,Sample1,500.0,53605.332031
Cidade de Maputo,Sample1,250.0,41681.003906
Cidade de Maputo,Sample1,200.0,37147.277344
Cidade de Maputo,Sample1,100.0,26393.783203
Cidade de Maputo,Sample1,75.0,22960.105469
Cidade de Maputo,Sample1,50.0,19238.833984
Cidade de Maputo,Sample1,20.0,4198.129395
Cidade de Maputo,Sample1,15.0,2916.009521
Cidade de Maputo,Sample1,10.0,1996.321899
Cidade de Maputo,Sample1,5.0,0.0
Cidade de Maputo,Sample1,2.0,0.0
Gaza,Sample1,1000.0,242817.84375
Gaza,Sample1,750.0,240021.21875
Gaza,Sample1,500.0,236078.78125
Gaza,Sample1,250.0,231100.25
Gaza,Sample1,200.0,228660.203125
Gaza,Sample1,100.0,214634.296875
Gaza,Sample1,75.0,206444.953125
Gaza,Sample1,50.0,192738.265625
Gaza,Sample1,20.0,117723.171875
Gaza,Sample1,15.0,71809.046875
Gaza,Sample1,10.0,30331.480469
Gaza,Sample1,5.0,1625.272339
Gaza,Sample1,2.0,0.0
Inhambane,Sample1,1000.0,80477.929688
Inhambane,Sample1,750.0,77382.625
Inhambane,Sample1,500.0,75553.71875
Inhambane,Sample1,250.0,70256.328125
Inhambane,Sample1,200.0,65402.921875
Inhambane,Sample1,100.0,54511.117188
Inhambane,Sample1,75.0,50796.609375
Inhambane,Sample1,50.0,45354.84375
Inhambane,Sample1,20.0,28989.230469
Inhambane,Sample1,15.0,24963.275391
Inhambane,Sample1,10.0,15639.510742
Inhambane,Sample1,5.0,3199.944336
Inhambane,Sample1,2.0,0.0
Manica,Sample1,1000.0,25803.933594
Manica,Sample1,750.0,25345.900391
Manica,Sample1,500.0,23349.140625
Manica,Sample1,250.0,21357.341797
Manica,Sample1,200.0,20317.785156
Manica,Sample1,100.0,18002.46875
Manica,Sample1,75.0,16907.625
Manica,Sample1,50.0,15307.5
Manica,Sample1,20.0,9664.583008
Manica,Sample1,15.0,8047.767578
Manica,Sample1,10.0,5876.773438
Manica,Sample1,5.0,2424.755371
Manica,Sample1,2.0,0.0
Maputo,Sample1,1000.0,142720.015625
Maputo,Sample1,750.0,130383.945312
Maputo,Sample1,500.0,114516.046875
Maputo,Sample1,250.0,102699.726562
Maputo,Sample1,200.0,97479.960938
Maputo,Sample1,100.0,88845.78125
Maputo,Sample1,75.0,82331.53125
Maputo,Sample1,50.0,74854.53125
Maputo,Sample1,20.0,41963.40625
Maputo,Sample1,15.0,28696.228516
Maputo,Sample1,10.0,9414.973633
Maputo,Sample1,5.0,620.356079
Maputo,Sample1,2.0,0.0
Nampula,Sample1,1000.0,62389.46875
Nampula,Sample1,750.0,60307.078125
Nampula,Sample1,500.0,57392.433594
Nampula,Sample1,250.0,47825.332031
Nampula,Sample1,200.0,44971.625
Nampula,Sample1,100.0,33029.816406
Nampula,Sample1,75.0,29425.796875
Nampula,Sample1,50.0,22967.341797
Nampula,Sample1,20.0,14123.601562
Nampula,Sample1,15.0,11864.038086
Nampula,Sample1,10.0,8657.617188
Nampula,Sample1,5.0,3863.819824
Nampula,Sample1,2.0,55.66
Niassa,Sample1,1000.0,31407.53125
Niassa,Sample1,750.0,30950.072266
Niassa,Sample1,500.0,30119.779297
Niassa,Sample1,250.0,28078.816406
Niassa,Sample1,200.0,27625.748047
Niassa,Sample1,100.0,24898.464844
Niassa,Sample1,75.0,23863.443359
Niassa,Sample1,50.0,22330.722656
Niassa,Sample1,20.0,14520.515625
Niassa,Sample1,15.0,7497.545898
Niassa,Sample1,10.0,4804.871582
Niassa,Sample1,5.0,2094.842529
Niassa,Sample1,2.0,24.288
Sofala,Sample1,1000.0,168685.875
Sofala,Sample1,750.0,166243.0
Sofala,Sample1,500.0,156270.328125
Sofala,Sample1,250.0,143806.359375
Sofala,Sample1,200.0,134747.046875
Sofala,Sample1,100.0,112264.328125
Sofala,Sample1,75.0,99121.328125
Sofala,Sample1,50.0,77641.109375
Sofala,Sample1,20.0,54503.71875
Sofala,Sample1,15.0,47726.679688
Sofala,Sample1,10.0,35014.851562
Sofala,Sample1,5.0,8270.021484
Sofala,Sample1,2.0,0.0
Tete,Sample1,1000.0,59499.636719
Tete,Sample1,750.0,58375.945312
Tete,Sample1,500.0,55999.859375
Tete,Sample1,250.0,52157.589844
Tete,Sample1,200.0,49645.519531
Tete,Sample1,100.0,43984.925781
Tete,Sample1,75.0,40929.878906
Tete,Sample1,50.0,34590.933594
Tete,Sample1,20.0,27376.542969
Tete,Sample1,15.0,25328.736328
Tete,Sample1,10.0,18995.767578
Tete,Sample1,5.0,10451.986328
Tete,Sample1,2.0,2.024
Zambezia,Sample1,1000.0,77668.5625
Zambezia,Sample1,750.0,75717.710938
Zambezia,Sample1,500.0,72759.195312
Zambezia,Sample1,250.0,64093.125
Zambezia,Sample1,200.0,59766.546875
Zambezia,Sample1,100.0,49924.265625
Zambezia,Sample1,75.0,45953.257812
Zambezia,Sample1,50.0,40944.097656
Zambezia,Sample1,20.0,31369.828125
Zambezia,Sample1,15.0,27215.121094
Zambezia,Sample1,10.0,21015.632812
Zambezia,Sample1,5.0,9496.617188
Zambezia,Sample1,2.0,235.543091
