countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
MW,1_analytic_mean,10523385,1759,1759,1,1,63267656.0,0.0,139134976.0
MW,2_sample_mean,10523385,1759,1759,1,1,63267656.0,,139134976.0
MW,1_analytic_mean,10523499,1760,1760,1,1,72571.09,0.0,203090.66
MW,2_sample_mean,10523499,1760,1760,1,1,72571.09,,203090.66
MW,1_analytic_mean,10523521,1761,1761,1,1,1770344.25,0.0,4535693.0
MW,2_sample_mean,10523521,1761,1761,1,1,1770344.25,,4535693.0
MW,1_analytic_mean,10523626,1762,1762,1,1,19125274.0,0.0,44578368.0
MW,2_sample_mean,10523626,1762,1762,1,1,19125274.0,,44578368.0
MW,1_analytic_mean,10523686,1762,1762,1,1,7514.36,0.0,33848.45
MW,2_sample_mean,10523686,1762,1762,1,1,7514.36,,33848.45
MW,1_analytic_mean,10523727,1763,1763,1,1,7514.36,0.0,33848.45
MW,2_sample_mean,10523727,1763,1763,1,1,7514.36,,33848.45
MW,1_analytic_mean,10523820,1764,1764,1,1,2747613.5,0.0,9883765.0
MW,2_sample_mean,10523820,1764,1764,1,1,2747613.5,,9883765.0
MW,1_analytic_mean,10523929,1765,1765,1,1,672365.5,0.0,2267848.5
MW,2_sample_mean,10523929,1765,1765,1,1,672365.5,,2267848.5
MW,1_analytic_mean,10523931,1765,1765,1,1,354393.25,0.0,1184696.62
MW,2_sample_mean,10523931,1765,1765,1,1,354393.25,,1184696.62
MW,1_analytic_mean,10523993,1765,1765,1,1,31999084.0,0.0,66681112.0
MW,2_sample_mean,10523993,1765,1765,1,1,31999084.0,,66681112.0
MW,1_analytic_mean,10524100,1766,1766,1,1,76903.68,0.0,203090.66
MW,2_sample_mean,10524100,1766,1766,1,1,76903.68,,203090.66
MW,1_analytic_mean,10524101,1766,1766,1,1,90172.26,0.0,406181.28
MW,2_sample_mean,10524101,1766,1766,1,1,90172.26,,406181.28
MW,1_analytic_mean,10524125,1767,1767,1,1,430010.69,0.0,913908.56
MW,2_sample_mean,10524125,1767,1767,1,1,430010.69,,913908.56
MW,1_analytic_mean,10524232,1768,1768,1,1,1017078.5,0.0,3452546.0
MW,2_sample_mean,10524232,1768,1768,1,1,1017078.5,,3452546.0
MW,1_analytic_mean,10524240,1768,1768,1,1,1284075.12,0.0,3114061.0
MW,2_sample_mean,10524240,1768,1768,1,1,1284075.12,,3114061.0
MW,1_analytic_mean,10524336,1769,1769,1,1,3964332.5,0.0,11677815.0
MW,2_sample_mean,10524336,1769,1769,1,1,3964332.5,,11677815.0
MW,1_analytic_mean,10524438,1770,1770,1,1,18684.34,0.0,67696.9
MW,2_sample_mean,10524438,1770,1770,1,1,18684.34,,67696.9
MW,1_analytic_mean,10524443,1770,1770,1,1,74737.38,0.0,270787.53
MW,2_sample_mean,10524443,1770,1770,1,1,74737.38,,270787.53
MW,1_analytic_mean,10524510,1770,1770,1,1,49594712.0,0.0,104074416.0
MW,2_sample_mean,10524510,1770,1770,1,1,49594712.0,,104074416.0
MW,1_analytic_mean,10524633,1771,1771,1,1,65259.81,0.0,203090.66
MW,2_sample_mean,10524633,1771,1771,1,1,65259.81,,203090.66
MW,1_analytic_mean,10524655,1772,1772,1,1,15028.71,0.0,67696.9
MW,2_sample_mean,10524655,1772,1772,1,1,15028.71,,67696.9
MW,1_analytic_mean,10524782,1773,1773,1,1,28432.7,0.0,33848.45
MW,2_sample_mean,10524782,1773,1773,1,1,28432.7,,33848.45
