geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Northern Region,1_analytic_mean,10523385,1759,1759,1,1,360147.47,0.0,778514.56
Northern Region,2_sample_mean,10523385,1759,1759,1,1,360147.47,,778514.56
Southern Region,1_analytic_mean,10523385,1759,1759,1,1,49092948.0,0.0,107864496.0
Southern Region,2_sample_mean,10523385,1759,1759,1,1,49092948.0,,107864496.0
Area under National Administration,1_analytic_mean,10523385,1759,1759,1,1,212906.72,0.0,609272.06
Area under National Administration,2_sample_mean,10523385,1759,1759,1,1,212906.72,,609272.06
Central Region,1_analytic_mean,10523385,1759,1759,1,1,13603165.0,0.0,29888340.0
Central Region,2_sample_mean,10523385,1759,1759,1,1,13603165.0,,29888340.0
Southern Region,1_analytic_mean,10523499,1760,1760,1,1,72571.09,0.0,203090.66
Southern Region,2_sample_mean,10523499,1760,1760,1,1,72571.09,,203090.66
Northern Region,1_analytic_mean,10523521,1761,1761,1,1,1755315.5,0.0,4467997.0
Northern Region,2_sample_mean,10523521,1761,1761,1,1,1755315.5,,4467997.0
Area under National Administration,1_analytic_mean,10523521,1761,1761,1,1,15028.71,0.0,67696.9
Area under National Administration,2_sample_mean,10523521,1761,1761,1,1,15028.71,,67696.9
Southern Region,1_analytic_mean,10523626,1762,1762,1,1,10240995.0,0.0,24506508.0
Southern Region,2_sample_mean,10523626,1762,1762,1,1,10240995.0,,24506508.0
Area under National Administration,1_analytic_mean,10523626,1762,1762,1,1,220759.58,0.0,575423.56
Area under National Administration,2_sample_mean,10523626,1762,1762,1,1,220759.58,,575423.56
Central Region,1_analytic_mean,10523626,1762,1762,1,1,8663547.0,0.0,19497004.0
Central Region,2_sample_mean,10523626,1762,1762,1,1,8663547.0,,19497004.0
Southern Region,1_analytic_mean,10523686,1762,1762,1,1,7514.36,0.0,33848.45
Southern Region,2_sample_mean,10523686,1762,1762,1,1,7514.36,,33848.45
Central Region,1_analytic_mean,10523727,1763,1763,1,1,7514.36,0.0,33848.45
Central Region,2_sample_mean,10523727,1763,1763,1,1,7514.36,,33848.45
Southern Region,1_analytic_mean,10523820,1764,1764,1,1,998868.38,0.0,4095667.5
Southern Region,2_sample_mean,10523820,1764,1764,1,1,998868.38,,4095667.5
Area under National Administration,1_analytic_mean,10523820,1764,1764,1,1,993587.62,0.0,3892576.5
Area under National Administration,2_sample_mean,10523820,1764,1764,1,1,993587.62,,3892576.5
Central Region,1_analytic_mean,10523820,1764,1764,1,1,755158.75,0.0,1895515.12
