geogname1,sidx,return_period,loss
Centrale,Sample1,2,0.0
Centrale,Sample1,5,585.120056
Centrale,Sample1,10,3080.775635
Centrale,Sample1,20,6325.04834
Centrale,Sample1,25,7567.972168000001
Centrale,Sample1,50,8939.167969
Centrale,Sample1,75,10686.262695
Centrale,Sample1,100,11218.939453
Centrale,Sample1,150,13398.75293
Centrale,Sample1,200,13560.078125
Centrale,Sample1,250,13715.260742
Centrale,Sample1,300,13760.981445
Centrale,Sample1,400,20047.017578
Centrale,Sample1,500,20756.84375
Centrale,Sample1,600,20899.308594
Centrale,Sample1,700,20936.96875
Centrale,Sample1,800,21222.015625
Centrale,Sample1,900,22130.072266
Centrale,Sample1,1000,32375.095702999995
Centrale,Sample1,1500,33270.5625
Kara,Sample1,2,0.0
Kara,Sample1,5,2514.2346190000007
Kara,Sample1,10,6299.161621
Kara,Sample1,20,9510.449219
Kara,Sample1,25,10356.804688
Kara,Sample1,50,13060.558594
Kara,Sample1,75,13663.644531
Kara,Sample1,100,14126.649413999998
Kara,Sample1,150,17093.9375
Kara,Sample1,200,17552.619141
Kara,Sample1,250,17743.423828
Kara,Sample1,300,18345.240234
Kara,Sample1,400,19607.21875
Kara,Sample1,500,19795.056641
Kara,Sample1,600,20115.701172
Kara,Sample1,700,20757.195312
Kara,Sample1,800,23111.382812
Kara,Sample1,900,23298.619141
Kara,Sample1,1000,23465.005859
Kara,Sample1,1500,23907.130859
Maritime,Sample1,2,0.0
Maritime,Sample1,5,6296.272461
Maritime,Sample1,10,12370.861328
Maritime,Sample1,20,21747.542969
Maritime,Sample1,25,28454.974609
Maritime,Sample1,50,52940.164062
Maritime,Sample1,75,78332.117188
Maritime,Sample1,100,102977.351562
Maritime,Sample1,150,147979.984375
Maritime,Sample1,200,149413.796875
Maritime,Sample1,250,176568.640625
Maritime,Sample1,300,195000.671875
Maritime,Sample1,400,211990.234375
Maritime,Sample1,500,222141.140625
Maritime,Sample1,600,240658.328125
Maritime,Sample1,700,244876.5
Maritime,Sample1,800,247202.578125
Maritime,Sample1,900,248091.75
Maritime,Sample1,1000,252204.84375
Maritime,Sample1,1500,309311.4375
Plateaux,Sample1,2,150.095993
Plateaux,Sample1,5,4361.956055
Plateaux,Sample1,10,11043.568359
Plateaux,Sample1,20,15372.392578
Plateaux,Sample1,25,16444.476562
Plateaux,Sample1,50,20240.998047
Plateaux,Sample1,75,22501.5625
Plateaux,Sample1,100,24013.769531
Plateaux,Sample1,150,25445.904297
Plateaux,Sample1,200,27939.78125
Plateaux,Sample1,250,29579.115234
Plateaux,Sample1,300,30775.583984
Plateaux,Sample1,400,33372.652344
Plateaux,Sample1,500,38649.753906
Plateaux,Sample1,600,40069.167969
Plateaux,Sample1,700,40536.324219
Plateaux,Sample1,800,41217.90625
Plateaux,Sample1,900,41793.949219
Plateaux,Sample1,1000,42553.625
Plateaux,Sample1,1500,43425.621094
Savanes,Sample1,2,25.439999
Savanes,Sample1,5,5126.145996
Savanes,Sample1,10,12571.009766
Savanes,Sample1,20,20217.677734
Savanes,Sample1,25,21955.416016
Savanes,Sample1,50,28935.005859
Savanes,Sample1,75,31735.953125
Savanes,Sample1,100,32842.757812
Savanes,Sample1,150,35207.007812
Savanes,Sample1,200,36218.0625
Savanes,Sample1,250,37871.070312
Savanes,Sample1,300,50402.953125
Savanes,Sample1,400,61120.054688
Savanes,Sample1,500,64926.351562
Savanes,Sample1,600,70052.078125
Savanes,Sample1,700,73896.523438
Savanes,Sample1,800,76958.773438
Savanes,Sample1,900,80996.492188
Savanes,Sample1,1000,82441.375
Savanes,Sample1,1500,89181.039062
