countrycode,sidx,return_period,loss
TG,Sample1,2,834.336792
TG,Sample1,5,9818.708984
TG,Sample1,10,17407.324219
TG,Sample1,20,22847.800781
TG,Sample1,25,24692.703125
TG,Sample1,50,30772.216797000005
TG,Sample1,75,38877.535156
TG,Sample1,100,44236.113281
TG,Sample1,150,52411.050781
TG,Sample1,200,66483.085938
TG,Sample1,250,83071.789062
TG,Sample1,300,92330.726562
TG,Sample1,400,98571.867188
TG,Sample1,500,112525.41406199998
TG,Sample1,600,117100.5
TG,Sample1,700,142106.25
TG,Sample1,800,145931.03125
TG,Sample1,900,147351.125
TG,Sample1,1000,148906.34375
TG,Sample1,1500,183626.546875
