geogname1,type,loss,standard_deviation,exposure_value
Maritime,1_analytic_mean,1893.8777,8671.66597,166627.015625
Savanes,1_analytic_mean,1449.71875,4341.2154439999995,42436.148438
Plateaux,1_analytic_mean,1193.771483,2709.161919,30775.078125
Kara,1_analytic_mean,596.605688,1420.6957710000001,11230.818359
Centrale,1_analytic_mean,447.500129,1356.888953,14223.069336000002
Maritime,2_sample_mean,1893.8777,8671.66597,166627.015625
Savanes,2_sample_mean,1449.71875,4341.2154439999995,42436.148438
Plateaux,2_sample_mean,1193.771483,2709.161919,30775.078125
Kara,2_sample_mean,596.605688,1420.6957710000001,11230.818359
Centrale,2_sample_mean,447.500129,1356.888953,14223.069336000002
