countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
TG,1_analytic_mean,9296091,1769,1769,1,1,90341816.0,0.0,344106688.0
TG,1_analytic_mean,10116831,8194,8194,1,1,86857912.0,0.0,348377472.0
TG,1_analytic_mean,9821672,5894,5894,1,1,84594352.0,0.0,334955008.0
TG,1_analytic_mean,10193575,8799,8799,1,1,82355200.0,0.0,336785344.0
TG,1_analytic_mean,9100994,238,238,1,1,80555352.0,0.0,312990976.0
TG,1_analytic_mean,9969453,7048,7048,1,1,78139264.0,0.0,320922432.0
TG,1_analytic_mean,10032109,7531,7531,1,1,73813472.0,0.0,306889856.0
TG,1_analytic_mean,9396384,2563,2563,1,1,69103256.0,0.0,270283136.0
TG,1_analytic_mean,9653043,4571,4571,1,1,68542032.0,0.0,253810096.0
TG,1_analytic_mean,9914287,6620,6620,1,1,68499240.0,0.0,275774144.0
TG,1_analytic_mean,9484999,3247,3247,1,1,68017328.0,0.0,252589872.0
TG,1_analytic_mean,9465593,3099,3099,1,1,65674392.0,0.0,265402224.0
TG,1_analytic_mean,10095696,8026,8026,1,1,60049028.0,0.0,232456176.0
TG,1_analytic_mean,10284212,9512,9512,1,1,59646340.0,0.0,238557296.0
TG,1_analytic_mean,9463859,3085,3085,1,1,59427252.0,0.0,139109040.0
TG,1_analytic_mean,10236299,9138,9138,1,1,57547456.0,0.0,219033712.0
TG,1_analytic_mean,10256583,9298,9298,1,1,57523048.0,0.0,219643824.0
TG,1_analytic_mean,9285360,1687,1687,1,1,57486456.0,0.0,227575280.0
TG,1_analytic_mean,9350506,2198,2198,1,1,57486428.0,0.0,197069680.0
TG,1_analytic_mean,9197923,1001,1001,1,1,57004364.0,0.0,132397768.0
TG,1_analytic_mean,9679936,4784,4784,1,1,56504104.0,0.0,194019120.0
TG,1_analytic_mean,9387698,2492,2492,1,1,56260084.0,0.0,223304496.0
TG,1_analytic_mean,10221925,9023,9023,1,1,56119736.0,0.0,196459568.0
TG,1_analytic_mean,10040796,7599,7599,1,1,54679868.0,0.0,227575280.0
TG,1_analytic_mean,9540224,3682,3682,1,1,54643228.0,0.0,209271920.0
TG,1_analytic_mean,9294617,1758,1758,1,1,54576108.0,0.0,208661808.0
TG,1_analytic_mean,9365333,2316,2316,1,1,53825652.0,0.0,213542704.0
TG,1_analytic_mean,10266114,9372,9372,1,1,53411360.0,0.0,118974952.0
TG,1_analytic_mean,9730986,5185,5185,1,1,52812820.0,0.0,203780912.0
TG,1_analytic_mean,9208869,1085,1085,1,1,52593164.0,0.0,178156208.0
TG,1_analytic_mean,9475149,3172,3172,1,1,52056248.0,0.0,177546096.0
TG,1_analytic_mean,10118061,8203,8203,1,1,52007480.0,0.0,219643824.0
TG,1_analytic_mean,9810804,5808,5808,1,1,50549216.0,0.0,180596656.0
TG,1_analytic_mean,9941973,6831,6831,1,1,49987904.0,0.0,167174192.0
TG,1_analytic_mean,10340668,9955,9955,1,1,49810964.0,0.0,161073072.0
TG,1_analytic_mean,9236402,1303,1303,1,1,49609548.0,0.0,108602776.0
TG,1_analytic_mean,9902167,6526,6526,1,1,49573000.0,0.0,182426992.0
TG,1_analytic_mean,9722954,5122,5122,1,1,49343336.0,0.0,120805336.0
TG,1_analytic_mean,9379795,2431,2431,1,1,48792028.0,0.0,161073072.0
TG,1_analytic_mean,10080981,7910,7910,1,1,48716180.0,0.0,120195208.0
TG,1_analytic_mean,10274623,9439,9439,1,1,48688316.0,0.0,158022512.0
TG,1_analytic_mean,9190473,943,943,1,1,48649068.0,0.0,120195208.0
TG,1_analytic_mean,10297249,9615,9615,1,1,48566284.0,0.0,182426992.0
TG,1_analytic_mean,9076093,42,42,1,1,48459928.0,0.0,117144568.0
TG,1_analytic_mean,9925831,6707,6707,1,1,48255116.0,0.0,170224752.0
TG,1_analytic_mean,9419332,2743,2743,1,1,48230664.0,0.0,108602776.0
TG,1_analytic_mean,9337037,2094,2094,1,1,48116976.0,0.0,116534440.0
TG,1_analytic_mean,9507109,3420,3420,1,1,48063344.0,0.0,120195208.0
TG,1_analytic_mean,9586383,4043,4043,1,1,47996228.0,0.0,118974952.0
TG,1_analytic_mean,9605081,4194,4194,1,1,47754812.0,0.0,174495536.0
TG,1_analytic_mean,10346454,9998,9998,1,1,47735156.0,0.0,118974952.0
TG,1_analytic_mean,10104106,8094,8094,1,1,47683780.0,0.0,115314184.0
TG,1_analytic_mean,9530168,3605,3605,1,1,47587440.0,0.0,118974952.0
TG,1_analytic_mean,9460697,3061,3061,1,1,47494640.0,0.0,114093928.0
TG,1_analytic_mean,9288258,1708,1708,1,1,47333748.0,0.0,117754696.0
TG,1_analytic_mean,9540989,3687,3687,1,1,47309416.0,0.0,152531504.0
TG,1_analytic_mean,10042861,7614,7614,1,1,47248400.0,0.0,167784304.0
TG,1_analytic_mean,10023560,7467,7467,1,1,47190852.0,0.0,116534440.0
TG,1_analytic_mean,10275932,9448,9448,1,1,47175184.0,0.0,169614640.0
TG,1_analytic_mean,9911103,6596,6596,1,1,47131124.0,0.0,115924312.0
TG,1_analytic_mean,10295991,9606,9606,1,1,47126384.0,0.0,179986544.0
TG,1_analytic_mean,9258368,1473,1473,1,1,47061448.0,0.0,111653416.0
TG,1_analytic_mean,10271438,9413,9413,1,1,46937160.0,0.0,114704056.0
TG,1_analytic_mean,9440648,2905,2905,1,1,46607768.0,0.0,150701168.0
TG,1_analytic_mean,10338259,9937,9937,1,1,46582004.0,0.0,112873672.0
TG,1_analytic_mean,9707576,5000,5000,1,1,46528372.0,0.0,114704056.0
TG,1_analytic_mean,10066888,7803,7803,1,1,46428192.0,0.0,112263544.0
TG,1_analytic_mean,9634794,4427,4427,1,1,46367180.0,0.0,112873672.0
TG,1_analytic_mean,9744189,5292,5292,1,1,46208544.0,0.0,112263544.0
TG,1_analytic_mean,10307586,9694,9694,1,1,46153636.0,0.0,112263544.0
TG,1_analytic_mean,10042299,7610,7610,1,1,46058640.0,0.0,158022512.0
TG,1_analytic_mean,9558240,3821,3821,1,1,46058576.0,0.0,111653416.0
TG,1_analytic_mean,9809080,5795,5795,1,1,45961008.0,0.0,146430384.0
TG,1_analytic_mean,9904303,6541,6541,1,1,45942676.0,0.0,99450856.0
