geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Maritime,1_analytic_mean,9821672,5894,5894,1,1,71976976.0,0.0,282485376.0
Maritime,1_analytic_mean,9296091,1769,1769,1,1,71110584.0,0.0,281875264.0
Maritime,1_analytic_mean,10193575,8799,8799,1,1,70354016.0,0.0,282485376.0
Maritime,1_analytic_mean,9969453,7048,7048,1,1,69036160.0,0.0,277604480.0
Maritime,1_analytic_mean,10116831,8194,8194,1,1,67870832.0,0.0,276994368.0
Maritime,1_analytic_mean,10032109,7531,7531,1,1,66919060.0,0.0,270893248.0
Maritime,1_analytic_mean,9100994,238,238,1,1,66717716.0,0.0,269673024.0
Maritime,1_analytic_mean,9914287,6620,6620,1,1,63307076.0,0.0,251369648.0
Maritime,1_analytic_mean,9465593,3099,3099,1,1,61238740.0,0.0,242828080.0
Maritime,1_analytic_mean,9396384,2563,2563,1,1,59219180.0,0.0,226965168.0
Maritime,1_analytic_mean,9285360,1687,1687,1,1,50890936.0,0.0,200730352.0
Maritime,1_analytic_mean,9653043,4571,4571,1,1,50866540.0,0.0,199510128.0
Maritime,1_analytic_mean,9387698,2492,2492,1,1,49231372.0,0.0,192798896.0
Maritime,1_analytic_mean,10040796,7599,7599,1,1,48334492.0,0.0,197679792.0
Maritime,1_analytic_mean,10284212,9512,9512,1,1,47407088.0,0.0,190968560.0
Maritime,1_analytic_mean,10095696,8026,8026,1,1,46900680.0,0.0,191578672.0
Maritime,1_analytic_mean,9365333,2316,2316,1,1,46394252.0,0.0,179986544.0
Maritime,1_analytic_mean,10118061,8203,8203,1,1,46192924.0,0.0,189138224.0
Maritime,1_analytic_mean,9484999,3247,3247,1,1,46131900.0,0.0,182426992.0
Maritime,1_analytic_mean,9730986,5185,5185,1,1,44441816.0,0.0,167174192.0
Maritime,1_analytic_mean,9294617,1758,1758,1,1,42794460.0,0.0,163513520.0
Maritime,1_analytic_mean,10256583,9298,9298,1,1,42281960.0,0.0,172055088.0
Maritime,1_analytic_mean,10236299,9138,9138,1,1,41903684.0,0.0,170834864.0
Maritime,1_analytic_mean,9350506,2198,2198,1,1,41171496.0,0.0,153141616.0
Maritime,1_analytic_mean,9540224,3682,3682,1,1,40402748.0,0.0,162903408.0
Maritime,1_analytic_mean,10297249,9615,9615,1,1,39670568.0,0.0,145210160.0
Maritime,1_analytic_mean,10221925,9023,9023,1,1,38920104.0,0.0,141549488.0
Maritime,1_analytic_mean,9902167,6526,6526,1,1,38560128.0,0.0,140939376.0
Maritime,1_analytic_mean,9810804,5808,5808,1,1,38065916.0,0.0,139109040.0
Maritime,1_analytic_mean,9510437,3446,3446,1,1,36839548.0,0.0,138498928.0
Savanes,1_analytic_mean,9722954,5122,5122,1,1,36249944.0,0.0,93349576.0
Maritime,1_analytic_mean,9475149,3172,3172,1,1,35985352.0,0.0,133618024.0
Maritime,1_analytic_mean,9679936,4784,4784,1,1,35820612.0,0.0,129957256.0
Savanes,1_analytic_mean,9507109,3420,3420,1,1,35750920.0,0.0,93959704.0
Maritime,1_analytic_mean,9109293,302,302,1,1,35680272.0,0.0,137278704.0
Savanes,1_analytic_mean,10080981,7910,7910,1,1,35622792.0,0.0,92739448.0
Savanes,1_analytic_mean,9190473,943,943,1,1,35555680.0,0.0,92739448.0
Savanes,1_analytic_mean,9586383,4043,4043,1,1,35543476.0,0.0,92739448.0
Maritime,1_analytic_mean,9985823,7172,7172,1,1,35503336.0,0.0,134228144.0
Savanes,1_analytic_mean,9076093,42,42,1,1,35433652.0,0.0,90298936.0
Savanes,1_analytic_mean,9460697,3061,3061,1,1,35377460.0,0.0,89688808.0
Savanes,1_analytic_mean,9337037,2094,2094,1,1,35292048.0,0.0,90298936.0
Savanes,1_analytic_mean,10346454,9998,9998,1,1,35282404.0,0.0,92739448.0
Savanes,1_analytic_mean,9530168,3605,3605,1,1,35275020.0,0.0,92739448.0
Savanes,1_analytic_mean,10104106,8094,8094,1,1,34925968.0,0.0,89688808.0
Savanes,1_analytic_mean,10023560,7467,7467,1,1,34872336.0,0.0,90909064.0
Savanes,1_analytic_mean,9288258,1708,1708,1,1,34752872.0,0.0,90298936.0
Savanes,1_analytic_mean,9911103,6596,6596,1,1,34745492.0,0.0,90298936.0
Savanes,1_analytic_mean,9258368,1473,1473,1,1,34730728.0,0.0,87248296.0
Savanes,1_analytic_mean,10271438,9413,9413,1,1,34551532.0,0.0,89078680.0
Savanes,1_analytic_mean,10066888,7803,7803,1,1,34311020.0,0.0,87248296.0
Savanes,1_analytic_mean,9707576,5000,5000,1,1,34283072.0,0.0,89078680.0
Savanes,1_analytic_mean,9634794,4427,4427,1,1,34115776.0,0.0,87858424.0
Savanes,1_analytic_mean,9877811,6333,6333,1,1,34037740.0,0.0,87858424.0
Savanes,1_analytic_mean,9744189,5292,5292,1,1,34024256.0,0.0,87248296.0
Savanes,1_analytic_mean,10307586,9694,9694,1,1,33969344.0,0.0,87248296.0
Savanes,1_analytic_mean,9856905,6170,6170,1,1,33951040.0,0.0,87858424.0
Savanes,1_analytic_mean,9558240,3821,3821,1,1,33947500.0,0.0,86638168.0
Savanes,1_analytic_mean,10338259,9937,9937,1,1,33689968.0,0.0,86028040.0
Maritime,1_analytic_mean,9659974,4626,4626,1,1,33578420.0,0.0,157412400.0
Savanes,1_analytic_mean,10016956,7413,7413,1,1,33476422.0,0.0,86638168.0
Savanes,1_analytic_mean,9817764,5863,5863,1,1,33357936.0,0.0,81757144.0
Maritime,1_analytic_mean,10237246,9145,9145,1,1,33303860.0,0.0,157412400.0
Maritime,1_analytic_mean,10275932,9448,9448,1,1,33300750.0,0.0,128126872.0
Savanes,1_analytic_mean,10267231,9381,9381,1,1,33239752.0,0.0,84807784.0
Maritime,1_analytic_mean,9605081,4194,4194,1,1,33087206.0,0.0,127516744.0
Savanes,1_analytic_mean,9621362,4321,4321,1,1,32946892.0,0.0,85417912.0
Maritime,1_analytic_mean,10042861,7614,7614,1,1,32898070.0,0.0,125076232.0
Maritime,1_analytic_mean,9208869,1085,1085,1,1,32794352.0,0.0,116534440.0
Savanes,1_analytic_mean,9695211,4905,4905,1,1,32733346.0,0.0,84807784.0
Maritime,1_analytic_mean,10295991,9606,9606,1,1,32599108.0,0.0,129957256.0
Savanes,1_analytic_mean,9989565,7201,7201,1,1,32312360.0,0.0,83587528.0
Maritime,1_analytic_mean,10241361,9178,9178,1,1,32251336.0,0.0,125686360.0
Savanes,1_analytic_mean,9138889,537,537,1,1,32176850.0,0.0,81757144.0
Maritime,1_analytic_mean,9228500,1240,1240,1,1,32135414.0,0.0,113483800.0
Maritime,1_analytic_mean,9809080,5795,5795,1,1,31988984.0,0.0,110433160.0
Maritime,1_analytic_mean,9309120,1873,1873,1,1,31866960.0,0.0,110433160.0
Savanes,1_analytic_mean,10094933,8021,8021,1,1,31805954.0,0.0,82977400.0
Maritime,1_analytic_mean,9104458,265,265,1,1,31513082.0,0.0,122025592.0
Maritime,1_analytic_mean,9379795,2431,2431,1,1,31317844.0,0.0,107992648.0
Maritime,1_analytic_mean,9925831,6707,6707,1,1,31305638.0,0.0,118974952.0
Maritime,1_analytic_mean,9631775,4403,4403,1,1,31262932.0,0.0,112263544.0
Maritime,1_analytic_mean,9380426,2436,2436,1,1,31171412.0,0.0,117754696.0
Maritime,1_analytic_mean,10029495,7512,7512,1,1,31110398.0,0.0,120805336.0
Maritime,1_analytic_mean,9941973,6831,6831,1,1,30835844.0,0.0,108602776.0
Maritime,1_analytic_mean,9703353,4968,4968,1,1,30658908.0,0.0,103721752.0
Maritime,1_analytic_mean,10316061,9761,9761,1,1,30567388.0,0.0,107382520.0
Maritime,1_analytic_mean,9405704,2634,2634,1,1,30512476.0,0.0,103111624.0
Maritime,1_analytic_mean,9146311,593,593,1,1,30305032.0,0.0,116534440.0
Maritime,1_analytic_mean,9208458,1082,1082,1,1,30286728.0,0.0,103721752.0
Maritime,1_analytic_mean,10000007,7279,7279,1,1,30213512.0,0.0,117754696.0
Maritime,1_analytic_mean,9905099,6547,6547,1,1,30128096.0,0.0,105552136.0
Maritime,1_analytic_mean,9669253,4699,4699,1,1,30115890.0,0.0,118974952.0
Maritime,1_analytic_mean,9094439,187,187,1,1,30048778.0,0.0,121415464.0
Maritime,1_analytic_mean,9247916,1393,1393,1,1,30024370.0,0.0,119585080.0
Maritime,1_analytic_mean,9923348,6689,6689,1,1,29701006.0,0.0,103721752.0
Maritime,1_analytic_mean,10042299,7610,7610,1,1,29615588.0,0.0,105552136.0
Maritime,1_analytic_mean,10063549,7778,7778,1,1,29548476.0,0.0,100671112.0
Maritime,1_analytic_mean,9982211,7145,7145,1,1,29524068.0,0.0,100060984.0
Maritime,1_analytic_mean,10340668,9955,9955,1,1,29487462.0,0.0,98840728.0
Maritime,1_analytic_mean,9440648,2905,2905,1,1,29402044.0,0.0,100060984.0
Maritime,1_analytic_mean,10274623,9439,9439,1,1,29103080.0,0.0,99450856.0
Maritime,1_analytic_mean,9690609,4868,4868,1,1,29072574.0,0.0,116534440.0
Maritime,1_analytic_mean,9995808,7248,7248,1,1,29029864.0,0.0,104942008.0
Maritime,1_analytic_mean,9606000,4200,4200,1,1,28974954.0,0.0,111043288.0
Maritime,1_analytic_mean,9162459,719,719,1,1,28926144.0,0.0,109212904.0
Maritime,1_analytic_mean,9510868,3449,3449,1,1,28798686.0,0.0,114093928.0
Maritime,1_analytic_mean,9971720,7065,7065,1,1,28724802.0,0.0,107382520.0
Maritime,1_analytic_mean,9270593,1570,1570,1,1,28700396.0,0.0,97620472.0
Maritime,1_analytic_mean,9540989,3687,3687,1,1,28688194.0,0.0,97620472.0
Maritime,1_analytic_mean,9944831,6853,6853,1,1,28654694.0,0.0,144600048.0
Maritime,1_analytic_mean,10016206,7407,7407,1,1,28654694.0,0.0,144600048.0
Maritime,1_analytic_mean,9760090,5414,5414,1,1,28654694.0,0.0,144600048.0
Maritime,1_analytic_mean,9979366,7124,7124,1,1,28578372.0,0.0,107992648.0
Maritime,1_analytic_mean,9164867,738,738,1,1,28386238.0,0.0,142159600.0
Maritime,1_analytic_mean,9438657,2889,2889,1,1,28352624.0,0.0,97620472.0
Maritime,1_analytic_mean,10122819,8240,8240,1,1,28297714.0,0.0,107382520.0
Maritime,1_analytic_mean,9937955,6800,6800,1,1,28285510.0,0.0,96400216.0
Maritime,1_analytic_mean,10306213,9683,9683,1,1,28285510.0,0.0,99450856.0
Maritime,1_analytic_mean,9409767,2666,2666,1,1,28163486.0,0.0,106162264.0
Maritime,1_analytic_mean,9423413,2774,2774,1,1,28078068.0,0.0,107382520.0
Maritime,1_analytic_mean,9244074,1363,1363,1,1,27895028.0,0.0,111043288.0
Maritime,1_analytic_mean,9152784,643,643,1,1,27870622.0,0.0,94569832.0
Savanes,1_analytic_mean,9340044,2117,2117,1,1,27809624.0,0.0,65893820.0
Savanes,1_analytic_mean,10067046,7804,7804,1,1,27742512.0,0.0,65893820.0
Maritime,1_analytic_mean,9865841,6239,6239,1,1,27632672.0,0.0,100060984.0
Savanes,1_analytic_mean,10072949,7848,7848,1,1,27461852.0,0.0,65893820.0
Maritime,1_analytic_mean,9359895,2273,2273,1,1,27425232.0,0.0,101281240.0
Maritime,1_analytic_mean,9649262,4542,4542,1,1,27413028.0,0.0,103111624.0
Savanes,1_analytic_mean,10036053,7562,7562,1,1,27382536.0,0.0,65893820.0
Maritime,1_analytic_mean,9705796,4986,4986,1,1,27333712.0,0.0,102501496.0
Savanes,1_analytic_mean,9433487,2851,2851,1,1,27327624.0,0.0,65283692.0
Maritime,1_analytic_mean,10014338,7393,7393,1,1,27321508.0,0.0,97010344.0
Savanes,1_analytic_mean,9205890,1062,1062,1,1,27254408.0,0.0,62843180.0
Maritime,1_analytic_mean,9479494,3204,3204,1,1,27236092.0,0.0,107992648.0
Maritime,1_analytic_mean,9758440,5402,5402,1,1,27236090.0,0.0,97010344.0
Maritime,1_analytic_mean,10050684,7677,7677,1,1,27229990.0,0.0,93349576.0
Savanes,1_analytic_mean,9636024,4436,4436,1,1,27168990.0,0.0,65893820.0
Savanes,1_analytic_mean,9076241,43,43,1,1,27101876.0,0.0,65283692.0
Savanes,1_analytic_mean,9989746,7202,7202,1,1,27034762.0,0.0,64673564.0
Savanes,1_analytic_mean,9558398,3822,3822,1,1,27022558.0,0.0,65283692.0
Maritime,1_analytic_mean,9201175,1026,1026,1,1,26955434.0,0.0,92129320.0
Maritime,1_analytic_mean,9648039,4533,4533,1,1,26955432.0,0.0,104331880.0
Maritime,1_analytic_mean,10011033,7368,7368,1,1,26863914.0,0.0,94569832.0
Savanes,1_analytic_mean,10244196,9200,9200,1,1,26839520.0,0.0,62233052.0
Savanes,1_analytic_mean,10095070,8022,8022,1,1,26821216.0,0.0,63453308.0
Savanes,1_analytic_mean,10023730,7468,7468,1,1,26772406.0,0.0,61622924.0
